,file_name,last_access_index,last_modify_index,creation_index,last_access_step,last_modify_step,creation_step
0,/home/runner/work/Algorithms/Algorithms/target/site/checkstyle.rss,-1,3040,3033,Not provided,Checkjavacheckstyle,Checkjavacheckstyle
1,/home/runner/work/Algorithms/Algorithms/target/checkstyle-header.txt,-1,2753,2749,Not provided,Checkjavacheckstyle,Checkjavacheckstyle
2,/home/runner/work/Algorithms/Algorithms/target/maven-status/maven-compiler-plugin/testCompile/default-testCompile/inputFiles.lst,-1,11995,11992,Not provided,Test,Test
3,/home/runner/work/Algorithms/Algorithms/target/checkstyle-result.xml,-1,3022,2034,Not provided,Checkjavacheckstyle,Checkjavacheckstyle
4,/home/runner/work/Algorithms/Algorithms/target/checkstyle-cachefile,-1,3020,3017,Not provided,Checkjavacheckstyle,Checkjavacheckstyle
5,/home/runner/work/Algorithms/Algorithms/target/site/images/rss.png,-1,3031,3028,Not provided,Checkjavacheckstyle,Checkjavacheckstyle
6,/home/runner/work/Algorithms/Algorithms/target/site/checkstyle.html,-1,3045,3042,Not provided,Checkjavacheckstyle,Checkjavacheckstyle
7,/home/runner/work/Algorithms/Algorithms/target/maven-status/maven-compiler-plugin/compile/default-compile/inputFiles.lst,-1,6774,6771,Not provided,Test,Test
8,/home/runner/work/Algorithms/Algorithms/target/surefire-reports/TEST-com.github.pedrovgs.problem25.AnagramsTest.xml,-1,13152,13150,Not provided,Test,Test
9,/home/runner/work/Algorithms/Algorithms/target/maven-status/maven-compiler-plugin/testCompile/default-testCompile/createdFiles.lst,-1,11990,11988,Not provided,Test,Test
10,/home/runner/work/Algorithms/Algorithms/target/surefire-reports/TEST-com.github.pedrovgs.problem67.MergeBinaryNumbersTest.xml,-1,13078,13076,Not provided,Test,Test
11,/home/runner/work/Algorithms/Algorithms/target/surefire-reports/TEST-com.github.pedrovgs.problem5.DivideUsingSubtractionTest.xml,-1,13140,13138,Not provided,Test,Test
12,/home/runner/work/Algorithms/Algorithms/target/surefire-reports/com.github.pedrovgs.problem5.DivideUsingSubtractionTest.txt,-1,13136,13134,Not provided,Test,Test
13,/home/runner/work/Algorithms/Algorithms/target/surefire-reports/TEST-com.github.pedrovgs.problem49.CombinationsOfChangeTest.xml,-1,13129,13127,Not provided,Test,Test
14,/home/runner/work/Algorithms/Algorithms/target/surefire-reports/com.github.pedrovgs.problem49.CombinationsOfChangeTest.txt,-1,13125,13123,Not provided,Test,Test
