,file_name,last_access_index,last_modify_index,creation_index,last_access_step,last_modify_step,creation_step
0,/home/runner/work/GradleTestCI/GradleTestCI/.gradle/7.6/checksums/checksums.lock,-1,7371,1222,Not provided,Buildmodules,Buildmodules
1,/home/runner/work/GradleTestCI/GradleTestCI/.gradle/buildOutputCleanup/outputFiles.bin,7348,7349,1294,Buildmodules,Buildmodules,Buildmodules
2,/home/runner/work/GradleTestCI/GradleTestCI/.gradle/buildOutputCleanup/buildOutputCleanup.lock,-1,7363,1261,Not provided,Buildmodules,Buildmodules
3,/home/runner/work/GradleTestCI/GradleTestCI/.gradle/7.6/checksums/sha1-checksums.bin,1364,6879,1361,Buildmodules,Buildmodules,Buildmodules
4,/home/runner/work/GradleTestCI/GradleTestCI/.gradle/7.6/fileHashes/fileHashes.lock,-1,7379,1233,Not provided,Buildmodules,Buildmodules
5,/home/runner/work/GradleTestCI/GradleTestCI/.gradle/7.6/checksums/md5-checksums.bin,1376,6870,1373,Buildmodules,Buildmodules,Buildmodules
6,/home/runner/work/GradleTestCI/GradleTestCI/.gradle/7.6/fileHashes/fileHashes.bin,1328,7313,1325,Buildmodules,Buildmodules,Buildmodules
7,/home/runner/work/GradleTestCI/GradleTestCI/.gradle/7.6/executionHistory/executionHistory.lock,-1,7358,1286,Not provided,Buildmodules,Buildmodules
8,/home/runner/work/GradleTestCI/GradleTestCI/.gradle/7.6/executionHistory/executionHistory.bin,1314,7336,1305,Buildmodules,Buildmodules,Buildmodules
9,/home/runner/work/GradleTestCI/GradleTestCI/.gradle/7.6/fileHashes/resourceHashesCache.bin,1352,6887,1349,Buildmodules,Buildmodules,Buildmodules
10,/home/runner/work/GradleTestCI/GradleTestCI/.gradle/7.6/dependencies-accessors/dependencies-accessors.lock,-1,7384,1247,Not provided,Buildmodules,Buildmodules
11,/home/runner/work/GradleTestCI/GradleTestCI/gradle/wrapper/gradle-wrapper.jar,-1,996,-1,Not provided,uses-checkout,Not provided
12,/home/runner/work/GradleTestCI/GradleTestCI/gradle/wrapper/gradle-wrapper.properties,-1,1004,999,Not provided,uses-checkout,uses-checkout
13,/home/runner/work/GradleTestCI/GradleTestCI/.gitattributes,-1,915,910,Not provided,uses-checkout,uses-checkout
14,/home/runner/work/GradleTestCI/GradleTestCI/README.md,-1,950,945,Not provided,uses-checkout,uses-checkout
15,/home/runner/work/GradleTestCI/GradleTestCI/.gradle/file-system.probe,-1,1346,1344,Not provided,Buildmodules,Buildmodules
16,/home/runner/work/GradleTestCI/GradleTestCI/gradlew,-1,1012,1007,Not provided,uses-checkout,uses-checkout
17,/home/runner/work/GradleTestCI/GradleTestCI/gradlew.bat,-1,1020,1015,Not provided,uses-checkout,uses-checkout
18,/home/runner/work/GradleTestCI/GradleTestCI/.gradle/buildOutputCleanup/cache.properties,-1,1279,1277,Not provided,Buildmodules,Buildmodules
19,/home/runner/work/GradleTestCI/GradleTestCI/.gitignore,-1,942,937,Not provided,uses-checkout,uses-checkout
20,/home/runner/work/GradleTestCI/GradleTestCI/.gradle/7.6/fileChanges/last-build.bin,-1,7353,7351,Not provided,Buildmodules,Buildmodules
21,/home/runner/work/GradleTestCI/GradleTestCI/.github/workflows/ci.yml,-1,926,-1,Not provided,uses-checkout,Not provided
