,file_name,last_access_index,last_modify_index,creation_index,last_access_step,last_modify_step,creation_step
0,/home/runner/work/GradleTestCI/GradleTestCI/.gradle/7.5.1/checksums/checksums.lock,-1,6067,1217,Not provided,Buildmodules,Buildmodules
1,/home/runner/work/GradleTestCI/GradleTestCI/.gradle/buildOutputCleanup/outputFiles.bin,6043,6044,1283,Buildmodules,Buildmodules,Buildmodules
2,/home/runner/work/GradleTestCI/GradleTestCI/.gradle/7.5.1/checksums/sha1-checksums.bin,1351,5562,1345,Buildmodules,Buildmodules,Buildmodules
3,/home/runner/work/GradleTestCI/GradleTestCI/.gradle/buildOutputCleanup/buildOutputCleanup.lock,-1,6060,1254,Not provided,Buildmodules,Buildmodules
4,/home/runner/work/GradleTestCI/GradleTestCI/.gradle/7.5.1/fileHashes/fileHashes.lock,-1,6074,1228,Not provided,Buildmodules,Buildmodules
5,/home/runner/work/GradleTestCI/GradleTestCI/.gradle/7.5.1/checksums/md5-checksums.bin,1418,5552,1362,Buildmodules,Buildmodules,Buildmodules
6,/home/runner/work/GradleTestCI/GradleTestCI/.gradle/7.5.1/fileHashes/fileHashes.bin,1312,6012,1309,Buildmodules,Buildmodules,Buildmodules
7,/home/runner/work/GradleTestCI/GradleTestCI/.gradle/7.5.1/executionHistory/executionHistory.lock,-1,6055,1276,Not provided,Buildmodules,Buildmodules
8,/home/runner/work/GradleTestCI/GradleTestCI/.gradle/7.5.1/executionHistory/executionHistory.bin,1298,6046,1289,Buildmodules,Buildmodules,Buildmodules
9,/home/runner/work/GradleTestCI/GradleTestCI/.gradle/7.5.1/fileHashes/resourceHashesCache.bin,1336,5568,1333,Buildmodules,Buildmodules,Buildmodules
10,/home/runner/work/GradleTestCI/GradleTestCI/gradle/wrapper/gradle-wrapper.jar,-1,988,-1,Not provided,uses10,Not provided
11,/home/runner/work/GradleTestCI/GradleTestCI/.gradle/7.5.1/dependencies-accessors/dependencies-accessors.lock,-1,6079,1242,Not provided,Buildmodules,Buildmodules
12,/home/runner/work/GradleTestCI/GradleTestCI/.gradle/file-system.probe,-1,1330,1328,Not provided,Buildmodules,Buildmodules
13,/home/runner/work/GradleTestCI/GradleTestCI/.gradle/buildOutputCleanup/cache.properties,-1,1269,1267,Not provided,Buildmodules,Buildmodules
14,/home/runner/work/GradleTestCI/GradleTestCI/.gitignore,-1,930,925,Not provided,uses10,uses10
15,/home/runner/work/GradleTestCI/GradleTestCI/gradle/wrapper/gradle-wrapper.properties,-1,996,991,Not provided,uses10,uses10
16,/home/runner/work/GradleTestCI/GradleTestCI/README.md,-1,938,933,Not provided,uses10,uses10
17,/home/runner/work/GradleTestCI/GradleTestCI/gradlew.bat,-1,1012,1007,Not provided,uses10,uses10
18,/home/runner/work/GradleTestCI/GradleTestCI/gradlew,-1,1004,999,Not provided,uses10,uses10
19,/home/runner/work/GradleTestCI/GradleTestCI/.gitattributes,-1,903,898,Not provided,uses10,uses10
20,/home/runner/work/GradleTestCI/GradleTestCI/.gradle/7.5.1/fileChanges/last-build.bin,-1,6050,6048,Not provided,Buildmodules,Buildmodules
21,/home/runner/work/GradleTestCI/GradleTestCI/.github/workflows/ci.yml,-1,914,-1,Not provided,uses10,Not provided
22,/home/runner/work/GradleTestCI/GradleTestCI/starting_build_SetupJDK8_11,-1,-1,1189,Not provided,Not provided,
23,/home/runner/work/GradleTestCI/GradleTestCI/starting_build_Buildmodules_16,-1,-1,1194,Not provided,Not provided,
24,/home/runner/work/GradleTestCI/GradleTestCI/.gradle/7.5.1/gc.properties,-1,-1,6092,Not provided,Not provided,Buildmodules
25,/home/runner/work/GradleTestCI/GradleTestCI/.gradle/7.5.1/dependencies-accessors/gc.properties,-1,-1,6081,Not provided,Not provided,Buildmodules
26,/home/runner/work/GradleTestCI/GradleTestCI/.gradle/vcs-1/gc.properties,-1,-1,6076,Not provided,Not provided,Buildmodules
27,/home/runner/work/GradleTestCI/GradleTestCI/app/build/test-results/test/binary/output.bin,-1,-1,5798,Not provided,Not provided,Buildmodules
28,/home/runner/work/GradleTestCI/GradleTestCI/starting_build_uses10_10,-1,-1,0,Not provided,Not provided,
29,/home/runner/work/GradleTestCI/GradleTestCI/starting_finished_finished_8979874,-1,-1,6095,Not provided,Not provided,
