,file_name,last_access_index,last_modify_index,creation_index,last_access_step,last_modify_step,creation_step
0,/home/runner/work/_temp/_github_workflow/event.json,50589,54813,-1,Codecov,Codecov,Not provided
1,/home/runner/work/MavenTestCI/MavenTestCI/.git/config.lock,-1,1973,236,Not provided,actionscheckout@v3,actionscheckout@v3
2,/home/runner/work/MavenTestCI/MavenTestCI/target/site/jacoco/jacoco-resources/prettify.js,-1,50438,1787,Not provided,TestwithMaven,actionscheckout@v3
3,/home/runner/work/MavenTestCI/MavenTestCI/target/site/jacoco/jacoco-sessions.html,-1,50490,1862,Not provided,TestwithMaven,actionscheckout@v3
4,/home/runner/work/MavenTestCI/MavenTestCI/.git/objects/b2/tmp_obj_O8hTor,-1,1116,1110,Not provided,actionscheckout@v3,actionscheckout@v3
5,/home/runner/work/MavenTestCI/MavenTestCI/target/site/jacoco/jacoco-resources/up.gif,-1,50399,1854,Not provided,TestwithMaven,actionscheckout@v3
6,/home/runner/work/MavenTestCI/MavenTestCI/target/site/jacoco/jacoco.csv,-1,50494,1871,Not provided,TestwithMaven,actionscheckout@v3
7,/home/runner/work/MavenTestCI/MavenTestCI/.git/HEAD.lock,-1,1993,230,Not provided,actionscheckout@v3,actionscheckout@v3
8,/home/runner/work/MavenTestCI/MavenTestCI/.git/refs/remotes/origin/optimizing-ci-builds.lock,-1,1361,-1,Not provided,actionscheckout@v3,Not provided
9,/home/runner/work/MavenTestCI/MavenTestCI/target/site/jacoco/default/index.html,-1,50480,1673,Not provided,TestwithMaven,actionscheckout@v3
10,/home/runner/work/MavenTestCI/MavenTestCI/target/site/jacoco/jacoco-resources/report.css,-1,50359,1806,Not provided,TestwithMaven,actionscheckout@v3
11,/home/runner/work/MavenTestCI/MavenTestCI/target/site/jacoco/default/Indicator.java.html,-1,50468,1665,Not provided,TestwithMaven,actionscheckout@v3
12,/home/runner/work/MavenTestCI/MavenTestCI/target/site/jacoco/jacoco-resources/redbar.gif,-1,50419,1798,Not provided,TestwithMaven,actionscheckout@v3
13,/home/runner/work/MavenTestCI/MavenTestCI/target/site/jacoco/default/index.source.html,-1,50472,1681,Not provided,TestwithMaven,actionscheckout@v3
14,/home/runner/work/MavenTestCI/MavenTestCI/target/site/jacoco/index.html,-1,50484,1689,Not provided,TestwithMaven,actionscheckout@v3
15,/home/runner/work/MavenTestCI/MavenTestCI/target/surefire-reports/Test.txt,-1,49978,1898,Not provided,TestwithMaven,actionscheckout@v3
16,/home/runner/work/MavenTestCI/MavenTestCI/target/site/jacoco/jacoco-resources/session.gif,-1,50391,1822,Not provided,TestwithMaven,actionscheckout@v3
17,/home/runner/work/MavenTestCI/MavenTestCI/target/site/jacoco/jacoco-resources/branchfc.gif,-1,50407,50405,Not provided,TestwithMaven,TestwithMaven
18,/home/runner/work/MavenTestCI/MavenTestCI/target/site/jacoco/jacoco-resources/branchnc.gif,-1,50411,1707,Not provided,TestwithMaven,actionscheckout@v3
19,/home/runner/work/MavenTestCI/MavenTestCI/target/site/jacoco/jacoco-resources/report.gif,-1,50363,1814,Not provided,TestwithMaven,actionscheckout@v3
20,/home/runner/work/MavenTestCI/MavenTestCI/target/site/jacoco/jacoco-resources/branchpc.gif,-1,50415,1715,Not provided,TestwithMaven,actionscheckout@v3
21,/home/runner/work/MavenTestCI/MavenTestCI/target/site/jacoco/jacoco-resources/down.gif,-1,50403,1739,Not provided,TestwithMaven,actionscheckout@v3
22,/home/runner/work/MavenTestCI/MavenTestCI/target/site/jacoco/jacoco-resources/bundle.gif,-1,50371,1723,Not provided,TestwithMaven,actionscheckout@v3
23,/home/runner/work/MavenTestCI/MavenTestCI/target/site/jacoco/default/Indicator.html,-1,50476,50474,Not provided,TestwithMaven,TestwithMaven
24,/home/runner/work/MavenTestCI/MavenTestCI/target/surefire-reports/TEST-Test.xml,-1,49982,49980,Not provided,TestwithMaven,TestwithMaven
25,/home/runner/work/MavenTestCI/MavenTestCI/target/site/jacoco/jacoco-resources/sort.gif,-1,50395,1830,Not provided,TestwithMaven,actionscheckout@v3
26,/home/runner/work/MavenTestCI/MavenTestCI/target/maven-status/maven-compiler-plugin/testCompile/default-testCompile/inputFiles.lst,-1,49775,1646,Not provided,TestwithMaven,actionscheckout@v3
27,/home/runner/work/MavenTestCI/MavenTestCI/target/site/jacoco/jacoco-resources/prettify.css,-1,50427,1779,Not provided,TestwithMaven,actionscheckout@v3
28,/home/runner/work/MavenTestCI/MavenTestCI/target/site/jacoco/jacoco-resources/package.gif,-1,50375,1771,Not provided,TestwithMaven,actionscheckout@v3
29,/home/runner/work/MavenTestCI/MavenTestCI/target/site/jacoco/jacoco-resources/source.gif,-1,50379,1846,Not provided,TestwithMaven,actionscheckout@v3
30,/home/runner/work/MavenTestCI/MavenTestCI/target/site/jacoco/jacoco-resources/method.gif,-1,50387,1763,Not provided,TestwithMaven,actionscheckout@v3
31,/home/runner/work/MavenTestCI/MavenTestCI/target/site/jacoco/jacoco-resources/sort.js,-1,50442,1838,Not provided,TestwithMaven,actionscheckout@v3
32,/home/runner/work/MavenTestCI/MavenTestCI/target/site/jacoco/jacoco-resources/group.gif,-1,50367,1755,Not provided,TestwithMaven,actionscheckout@v3
33,/home/runner/work/MavenTestCI/MavenTestCI/target/maven-status/maven-compiler-plugin/compile/default-compile/createdFiles.lst,-1,49665,1617,Not provided,TestwithMaven,actionscheckout@v3
34,/home/runner/work/MavenTestCI/MavenTestCI/target/maven-status/maven-compiler-plugin/compile/default-compile/inputFiles.lst,-1,49669,1627,Not provided,TestwithMaven,actionscheckout@v3
35,/home/runner/work/MavenTestCI/MavenTestCI/target/maven-status/maven-compiler-plugin/testCompile/default-testCompile/createdFiles.lst,-1,49771,49769,Not provided,TestwithMaven,TestwithMaven
36,/home/runner/work/MavenTestCI/MavenTestCI/target/site/jacoco/jacoco-resources/greenbar.gif,-1,50423,1747,Not provided,TestwithMaven,actionscheckout@v3
37,/home/runner/work/MavenTestCI/MavenTestCI/target/site/jacoco/jacoco-resources/class.gif,-1,50383,1731,Not provided,TestwithMaven,actionscheckout@v3
38,/home/runner/work/_temp/465c2fe5-ff02-417a-aed6-7f3f716ad2a9/jdk-18.0.2.1+1/legal/java.net.http/ADDITIONAL_LICENSE_INFO,-1,47514,46776,Not provided,SetupJDK18,SetupJDK18
39,/home/runner/work/_temp/465c2fe5-ff02-417a-aed6-7f3f716ad2a9/jdk-18.0.2.1+1/legal/jdk.jdeps/LICENSE,-1,47448,47447,Not provided,SetupJDK18,SetupJDK18
40,/home/runner/work/_temp/465c2fe5-ff02-417a-aed6-7f3f716ad2a9/jdk-18.0.2.1+1/legal/java.security.jgss/ASSEMBLY_EXCEPTION,-1,47490,47489,Not provided,SetupJDK18,SetupJDK18
41,/home/runner/work/_temp/465c2fe5-ff02-417a-aed6-7f3f716ad2a9/jdk-18.0.2.1+1/legal/java.net.http/ASSEMBLY_EXCEPTION,-1,47517,47516,Not provided,SetupJDK18,SetupJDK18
42,/home/runner/work/_temp/465c2fe5-ff02-417a-aed6-7f3f716ad2a9/jdk-18.0.2.1+1/legal/jdk.jdeps/ASSEMBLY_EXCEPTION,-1,47445,47444,Not provided,SetupJDK18,SetupJDK18
43,/home/runner/work/_temp/465c2fe5-ff02-417a-aed6-7f3f716ad2a9/jdk-18.0.2.1+1/legal/java.net.http/LICENSE,-1,47520,47519,Not provided,SetupJDK18,SetupJDK18
44,/home/runner/work/_temp/465c2fe5-ff02-417a-aed6-7f3f716ad2a9/jdk-18.0.2.1+1/legal/jdk.jdeps/ADDITIONAL_LICENSE_INFO,-1,47442,47441,Not provided,SetupJDK18,SetupJDK18
45,/home/runner/work/_temp/465c2fe5-ff02-417a-aed6-7f3f716ad2a9/jdk-18.0.2.1+1/legal/java.logging/LICENSE,-1,47439,47438,Not provided,SetupJDK18,SetupJDK18
46,/home/runner/work/_temp/465c2fe5-ff02-417a-aed6-7f3f716ad2a9/jdk-18.0.2.1+1/legal/java.logging/ASSEMBLY_EXCEPTION,-1,47436,47435,Not provided,SetupJDK18,SetupJDK18
47,/home/runner/work/_temp/465c2fe5-ff02-417a-aed6-7f3f716ad2a9/jdk-18.0.2.1+1/legal/java.logging/ADDITIONAL_LICENSE_INFO,-1,47433,47432,Not provided,SetupJDK18,SetupJDK18
48,/home/runner/work/_temp/465c2fe5-ff02-417a-aed6-7f3f716ad2a9/jdk-18.0.2.1+1/legal/jdk.security.auth/LICENSE,-1,47430,47429,Not provided,SetupJDK18,SetupJDK18
49,/home/runner/work/_temp/465c2fe5-ff02-417a-aed6-7f3f716ad2a9/jdk-18.0.2.1+1/legal/jdk.security.auth/ASSEMBLY_EXCEPTION,-1,47427,47426,Not provided,SetupJDK18,SetupJDK18
50,/home/runner/work/_temp/465c2fe5-ff02-417a-aed6-7f3f716ad2a9/jdk-18.0.2.1+1/legal/jdk.security.auth/ADDITIONAL_LICENSE_INFO,-1,47424,47423,Not provided,SetupJDK18,SetupJDK18
51,/home/runner/work/_temp/465c2fe5-ff02-417a-aed6-7f3f716ad2a9/jdk-18.0.2.1+1/legal/java.security.sasl/LICENSE,-1,47511,47510,Not provided,SetupJDK18,SetupJDK18
52,/home/runner/work/_temp/465c2fe5-ff02-417a-aed6-7f3f716ad2a9/jdk-18.0.2.1+1/legal/java.sql/ASSEMBLY_EXCEPTION,-1,47463,47462,Not provided,SetupJDK18,SetupJDK18
