,file_name,last_access_index,last_modify_index,creation_index,last_access_step,last_modify_step,creation_step
0,/home/runner/work/MavenTestCI/MavenTestCI/target/jacoco.exec,3286,3269,1357,TestwithMaven,TestwithMaven,uses-checkout
1,/home/runner/work/MavenTestCI/MavenTestCI/target/surefire/surefirebooter659631567578518386.jar,2361,2346,2218,TestwithMaven,TestwithMaven,TestwithMaven
2,/home/runner/work/MavenTestCI/MavenTestCI/target/classes/Indicator.class,3395,2080,2074,TestwithMaven,TestwithMaven,TestwithMaven
3,/home/runner/work/MavenTestCI/MavenTestCI/target/test-classes/Test.class,2369,2174,2169,TestwithMaven,TestwithMaven,TestwithMaven
4,/home/runner/work/MavenTestCI/MavenTestCI/target/site/jacoco/jacoco.xml,3674,3430,1631,Codecov,TestwithMaven,uses-checkout
5,/home/runner/work/MavenTestCI/MavenTestCI/target/surefire/surefire8684211732328363222tmp,2366,2209,2204,TestwithMaven,TestwithMaven,TestwithMaven
6,/home/runner/work/MavenTestCI/MavenTestCI/target/surefire/surefire_03164571843416223879tmp,2363,2216,2211,TestwithMaven,TestwithMaven,TestwithMaven
7,/home/runner/work/MavenTestCI/MavenTestCI/.github/workflows/script.py,3689,1263,1258,finished,uses-checkout,uses-checkout
8,/home/runner/work/MavenTestCI/MavenTestCI/pom.xml,1844,1321,1316,TestwithMaven,uses-checkout,uses-checkout
9,/home/runner/work/MavenTestCI/MavenTestCI/src/test/java/Test.java,2136,1343,-1,TestwithMaven,uses-checkout,Not provided
10,/home/runner/work/MavenTestCI/MavenTestCI/src/main/java/Indicator.java,3404,1332,-1,TestwithMaven,uses-checkout,Not provided
