,file_name,last_access_index,last_modify_index,creation_index,last_access_step,last_modify_step,creation_step
0,/home/runner/work/_temp/_github_workflow/event.json,51495,55748,-1,setup,setup,Not provided
1,/home/runner/work/MavenTestCI/MavenTestCI/.git/config.lock,-1,1675,478,Not provided,setup,setup
2,/home/runner/work/MavenTestCI/MavenTestCI/target/site/jacoco/jacoco-sessions.html,302,51439,51435,setup,setup,setup
3,/home/runner/work/MavenTestCI/MavenTestCI/.git/index.lock,-1,1622,175,Not provided,setup,setup
4,/home/runner/work/MavenTestCI/MavenTestCI/.git/FETCH_HEAD,-1,1530,-1,Not provided,setup,Not provided
5,/home/runner/work/_temp/2c2258aa-cd22-475c-baa9-e1bfa7fba704/.gitconfig.lock,-1,79,66,Not provided,setup,setup
6,/home/runner/work/MavenTestCI/MavenTestCI/.git/HEAD.lock,-1,1694,334,Not provided,setup,setup
7,/home/runner/work/MavenTestCI/MavenTestCI/.git/logs/HEAD,-1,1692,-1,Not provided,setup,Not provided
8,/home/runner/work/_temp/4b6a82c5-8837-46a7-8f61-a034b8c614ba/jdk-18.0.2.1+1/legal/java.smartcardio/ASSEMBLY_EXCEPTION,-1,48083,48082,Not provided,setup,setup
9,/home/runner/work/_temp/4b6a82c5-8837-46a7-8f61-a034b8c614ba/jdk-18.0.2.1+1/legal/jdk.jconsole/ADDITIONAL_LICENSE_INFO,-1,48107,47288,Not provided,setup,setup
10,/home/runner/work/_temp/4b6a82c5-8837-46a7-8f61-a034b8c614ba/jdk-18.0.2.1+1/legal/java.smartcardio/LICENSE,-1,48086,48085,Not provided,setup,setup
11,/home/runner/work/_temp/4b6a82c5-8837-46a7-8f61-a034b8c614ba/jdk-18.0.2.1+1/legal/java.prefs/LICENSE,-1,48104,48103,Not provided,setup,setup
12,/home/runner/work/_temp/4b6a82c5-8837-46a7-8f61-a034b8c614ba/jdk-18.0.2.1+1/legal/jdk.internal.vm.ci/ASSEMBLY_EXCEPTION,-1,48092,48091,Not provided,setup,setup
13,/home/runner/work/_temp/4b6a82c5-8837-46a7-8f61-a034b8c614ba/jdk-18.0.2.1+1/legal/java.prefs/ASSEMBLY_EXCEPTION,-1,48101,48100,Not provided,setup,setup
14,/home/runner/work/_temp/4b6a82c5-8837-46a7-8f61-a034b8c614ba/jdk-18.0.2.1+1/legal/jdk.internal.vm.ci/LICENSE,-1,48095,48094,Not provided,setup,setup
15,/home/runner/work/_temp/4b6a82c5-8837-46a7-8f61-a034b8c614ba/jdk-18.0.2.1+1/legal/jdk.internal.vm.ci/ADDITIONAL_LICENSE_INFO,-1,48089,48088,Not provided,setup,setup
16,/home/runner/work/_temp/4b6a82c5-8837-46a7-8f61-a034b8c614ba/jdk-18.0.2.1+1/legal/java.prefs/ADDITIONAL_LICENSE_INFO,-1,48098,48097,Not provided,setup,setup
17,/home/runner/work/_temp/4b6a82c5-8837-46a7-8f61-a034b8c614ba/jdk-18.0.2.1+1/legal/jdk.jconsole/LICENSE,-1,48113,48112,Not provided,setup,setup
18,/home/runner/work/_temp/4b6a82c5-8837-46a7-8f61-a034b8c614ba/jdk-18.0.2.1+1/legal/jdk.jconsole/ASSEMBLY_EXCEPTION,-1,48110,47285,Not provided,setup,setup
19,/home/runner/work/_temp/4b6a82c5-8837-46a7-8f61-a034b8c614ba/jdk-18.0.2.1+1/legal/java.xml.crypto/LICENSE,-1,48131,48130,Not provided,setup,setup
20,/home/runner/work/_temp/4b6a82c5-8837-46a7-8f61-a034b8c614ba/jdk-18.0.2.1+1/legal/jdk.management.agent/ADDITIONAL_LICENSE_INFO,-1,48116,47237,Not provided,setup,setup
21,/home/runner/work/_temp/4b6a82c5-8837-46a7-8f61-a034b8c614ba/jdk-18.0.2.1+1/legal/jdk.management.agent/ASSEMBLY_EXCEPTION,-1,48119,48118,Not provided,setup,setup
22,/home/runner/work/_temp/4b6a82c5-8837-46a7-8f61-a034b8c614ba/jdk-18.0.2.1+1/legal/jdk.nio.mapmode/ADDITIONAL_LICENSE_INFO,-1,48179,48178,Not provided,setup,setup
23,/home/runner/work/_temp/4b6a82c5-8837-46a7-8f61-a034b8c614ba/jdk-18.0.2.1+1/legal/jdk.internal.vm.compiler.management/LICENSE,-1,48176,48175,Not provided,setup,setup
24,/home/runner/work/_temp/4b6a82c5-8837-46a7-8f61-a034b8c614ba/jdk-18.0.2.1+1/legal/jdk.internal.vm.compiler.management/ASSEMBLY_EXCEPTION,-1,48173,48172,Not provided,setup,setup
25,/home/runner/work/_temp/4b6a82c5-8837-46a7-8f61-a034b8c614ba/jdk-18.0.2.1+1/legal/jdk.internal.vm.compiler.management/ADDITIONAL_LICENSE_INFO,-1,48170,48169,Not provided,setup,setup
26,/home/runner/work/_temp/4b6a82c5-8837-46a7-8f61-a034b8c614ba/jdk-18.0.2.1+1/legal/jdk.unsupported.desktop/LICENSE,-1,48167,48166,Not provided,setup,setup
27,/home/runner/work/_temp/4b6a82c5-8837-46a7-8f61-a034b8c614ba/jdk-18.0.2.1+1/legal/jdk.unsupported.desktop/ASSEMBLY_EXCEPTION,-1,48164,48163,Not provided,setup,setup
28,/home/runner/work/_temp/4b6a82c5-8837-46a7-8f61-a034b8c614ba/jdk-18.0.2.1+1/legal/jdk.unsupported.desktop/ADDITIONAL_LICENSE_INFO,-1,48161,47208,Not provided,setup,setup
