,file_name,last_access_index,last_modify_index,creation_index,last_access_step,last_modify_step,creation_step
0,/home/runner/work/bytecode-viewer/bytecode-viewer/libs/org/jd/jd-gui/1.6.6bcv/jd-gui-1.6.6bcv.jar,3797,1737,1643,BuildwithMaven,uses-checkout,uses-checkout
1,/home/runner/work/bytecode-viewer/bytecode-viewer/libs/eu/bibl/banalysis/byteanalysis/1.0bcv/byteanalysis-1.0bcv.jar,3669,1606,-1,BuildwithMaven,uses-checkout,Not provided
2,/home/runner/work/bytecode-viewer/bytecode-viewer/pom.xml,3630,1823,1821,BuildwithMaven,uses-checkout,uses-checkout
3,/home/runner/work/bytecode-viewer/bytecode-viewer/libs/org/jd/jd-gui/1.6.6bcv/jd-gui-1.6.6bcv.pom.sha1,3636,1757,1755,BuildwithMaven,uses-checkout,uses-checkout
4,/home/runner/work/bytecode-viewer/bytecode-viewer/libs/org/jd/jd-gui/1.6.6bcv/jd-gui-1.6.6bcv.pom,3633,1749,1747,BuildwithMaven,uses-checkout,uses-checkout
5,/home/runner/work/bytecode-viewer/bytecode-viewer/libs/org/jd/jd-gui/1.6.6bcv/jd-gui-1.6.6bcv.jar.sha1,3800,1745,1743,BuildwithMaven,uses-checkout,uses-checkout
6,/home/runner/work/bytecode-viewer/bytecode-viewer/libs/eu/bibl/banalysis/byteanalysis/1.0bcv/byteanalysis-1.0bcv.pom.sha1,3642,1626,1624,BuildwithMaven,uses-checkout,uses-checkout
7,/home/runner/work/bytecode-viewer/bytecode-viewer/libs/eu/bibl/banalysis/byteanalysis/1.0bcv/byteanalysis-1.0bcv.pom,3639,1618,1616,BuildwithMaven,uses-checkout,uses-checkout
8,/home/runner/work/bytecode-viewer/bytecode-viewer/libs/eu/bibl/banalysis/byteanalysis/1.0bcv/byteanalysis-1.0bcv.jar.sha1,3672,1614,1612,BuildwithMaven,uses-checkout,uses-checkout
9,/home/runner/work/bytecode-viewer/bytecode-viewer/.github/workflows/script.py,3816,1492,1490,finished,uses-checkout,uses-checkout
