,file_name,last_access_index,last_modify_index,creation_index,last_access_step,last_modify_step,creation_step
0,/home/runner/work/commons-lang/commons-lang/target/rat.txt,-1,8269,-1,Not provided,BuildwithMaven,Not provided
1,/home/runner/work/commons-lang/commons-lang/src/site/resources/release-notes/RELEASE-NOTES-3.10.txt,-1,2607,2605,Not provided,uses-checkout,uses-checkout
2,/home/runner/work/commons-lang/commons-lang/src/site/resources/release-notes/RELEASE-NOTES-3.6.txt,-1,2639,2637,Not provided,uses-checkout,uses-checkout
3,/home/runner/work/commons-lang/commons-lang/src/site/resources/release-notes/RELEASE-NOTES-3.5.txt,-1,2635,2633,Not provided,uses-checkout,uses-checkout
4,/home/runner/work/commons-lang/commons-lang/src/site/resources/release-notes/RELEASE-NOTES-3.4.txt,-1,2631,2629,Not provided,uses-checkout,uses-checkout
5,/home/runner/work/commons-lang/commons-lang/src/site/resources/release-notes/RELEASE-NOTES-3.3.txt,-1,2627,2625,Not provided,uses-checkout,uses-checkout
6,/home/runner/work/commons-lang/commons-lang/src/site/resources/release-notes/RELEASE-NOTES-3.3.2.txt,-1,2623,2621,Not provided,uses-checkout,uses-checkout
7,/home/runner/work/commons-lang/commons-lang/src/site/resources/release-notes/RELEASE-NOTES-3.3.1.txt,-1,2619,2617,Not provided,uses-checkout,uses-checkout
8,/home/runner/work/commons-lang/commons-lang/src/site/resources/release-notes/RELEASE-NOTES-3.2.txt,-1,2615,2613,Not provided,uses-checkout,uses-checkout
9,/home/runner/work/commons-lang/commons-lang/src/site/resources/release-notes/RELEASE-NOTES-3.2.1.txt,-1,2611,2609,Not provided,uses-checkout,uses-checkout
10,/home/runner/work/commons-lang/commons-lang/src/site/resources/release-notes/RELEASE-NOTES-3.1.txt,-1,2603,2601,Not provided,uses-checkout,uses-checkout
11,/home/runner/work/commons-lang/commons-lang/src/site/resources/release-notes/RELEASE-NOTES-3.7.txt,-1,2643,2641,Not provided,uses-checkout,uses-checkout
12,/home/runner/work/commons-lang/commons-lang/src/site/resources/release-notes/RELEASE-NOTES-3.0.txt,-1,2599,2597,Not provided,uses-checkout,uses-checkout
13,/home/runner/work/commons-lang/commons-lang/src/site/resources/release-notes/RELEASE-NOTES-3.0.1.txt,-1,2595,2593,Not provided,uses-checkout,uses-checkout
14,/home/runner/work/commons-lang/commons-lang/src/site/resources/release-notes/RELEASE-NOTES-2.6.txt,-1,2591,2589,Not provided,uses-checkout,uses-checkout
15,/home/runner/work/commons-lang/commons-lang/src/site/resources/release-notes/RELEASE-NOTES-2.5.txt,-1,2587,2585,Not provided,uses-checkout,uses-checkout
16,/home/runner/work/commons-lang/commons-lang/src/site/resources/release-notes/RELEASE-NOTES-2.4.txt,-1,2583,2581,Not provided,uses-checkout,uses-checkout
17,/home/runner/work/commons-lang/commons-lang/src/site/resources/release-notes/RELEASE-NOTES-2.3.txt,-1,2579,2577,Not provided,uses-checkout,uses-checkout
18,/home/runner/work/commons-lang/commons-lang/src/site/resources/release-notes/RELEASE-NOTES-2.2.txt,-1,2575,2573,Not provided,uses-checkout,uses-checkout
19,/home/runner/work/commons-lang/commons-lang/src/site/resources/release-notes/RELEASE-NOTES-2.1.txt,-1,2571,2569,Not provided,uses-checkout,uses-checkout
20,/home/runner/work/commons-lang/commons-lang/src/site/resources/release-notes/RELEASE-NOTES-2.0.txt,-1,2567,2565,Not provided,uses-checkout,uses-checkout
21,/home/runner/work/commons-lang/commons-lang/src/site/resources/release-notes/RELEASE-NOTES-1.0.txt,-1,2563,2561,Not provided,uses-checkout,uses-checkout
22,/home/runner/work/commons-lang/commons-lang/src/site/resources/release-notes/RELEASE-NOTES-3.9.txt,-1,2655,2653,Not provided,uses-checkout,uses-checkout
23,/home/runner/work/commons-lang/commons-lang/src/site/resources/release-notes/RELEASE-NOTES-3.8.txt,-1,2651,2649,Not provided,uses-checkout,uses-checkout
24,/home/runner/work/commons-lang/commons-lang/src/site/resources/release-notes/RELEASE-NOTES-3.8.1.txt,-1,2647,2645,Not provided,uses-checkout,uses-checkout
25,/home/runner/work/commons-lang/commons-lang/src/site/resources/download_lang.cgi,-1,2531,2529,Not provided,uses-checkout,uses-checkout
26,/home/runner/work/commons-lang/commons-lang/src/site/resources/images/logo.png,-1,2539,2537,Not provided,uses-checkout,uses-checkout
27,/home/runner/work/commons-lang/commons-lang/src/test/resources/lang-708-input.txt,-1,3788,3786,Not provided,uses-checkout,uses-checkout
28,/home/runner/work/commons-lang/commons-lang/RELEASE-NOTES.txt,-1,1423,1421,Not provided,uses-checkout,uses-checkout
29,/home/runner/work/commons-lang/commons-lang/NOTICE.txt,-1,1415,1413,Not provided,uses-checkout,uses-checkout
30,/home/runner/work/commons-lang/commons-lang/LICENSE.txt,-1,1411,1409,Not provided,uses-checkout,uses-checkout
31,/home/runner/work/commons-lang/commons-lang/src/site/resources/.htaccess,-1,2515,2513,Not provided,uses-checkout,uses-checkout
32,/home/runner/work/commons-lang/commons-lang/src/media/logo.xcf,-1,2507,2505,Not provided,uses-checkout,uses-checkout
