,file_name,last_access_index,last_modify_index,creation_index,last_access_step,last_modify_step,creation_step
0,/home/runner/work/jackson-databind/jackson-databind/.git/config.lock,-1,127094,277,Not provided,uses,uses
1,/home/runner/work/jackson-databind/jackson-databind/.git/HEAD.lock,-1,127114,271,Not provided,uses,uses
2,/home/runner/work/_temp/_runner_file_commands/add_path_c780d62e-995c-4217-a5f5-ab25581be4e0,-1,13,11,Not provided,setup,setup
3,/home/runner/work/jackson-databind/jackson-databind/docs/javadoc/2.9/com/fasterxml/jackson/databind/module/SimpleModule.html,-1,121877,121871,Not provided,uses,uses
4,/home/runner/work/jackson-databind/jackson-databind/docs/javadoc/2.9/com/fasterxml/jackson/databind/module/SimpleKeyDeserializers.html,-1,121869,121867,Not provided,uses,uses
5,/home/runner/work/jackson-databind/jackson-databind/docs/javadoc/2.9/com/fasterxml/jackson/databind/module/SimpleDeserializers.html,-1,121865,121859,Not provided,uses,uses
6,/home/runner/work/jackson-databind/jackson-databind/docs/javadoc/2.9/com/fasterxml/jackson/databind/jsontype/package-use.html,-1,121850,121846,Not provided,uses,uses
7,/home/runner/work/jackson-databind/jackson-databind/docs/javadoc/2.9/com/fasterxml/jackson/databind/jsontype/package-tree.html,-1,121844,121842,Not provided,uses,uses
8,/home/runner/work/jackson-databind/jackson-databind/docs/javadoc/2.9/com/fasterxml/jackson/databind/jsontype/package-summary.html,-1,121840,121838,Not provided,uses,uses
9,/home/runner/work/jackson-databind/jackson-databind/docs/javadoc/2.9/com/fasterxml/jackson/databind/jsontype/package-frame.html,-1,121836,121834,Not provided,uses,uses
10,/home/runner/work/jackson-databind/jackson-databind/docs/javadoc/2.9/com/fasterxml/jackson/databind/jsontype/impl/package-use.html,-1,121832,121830,Not provided,uses,uses
11,/home/runner/work/jackson-databind/jackson-databind/docs/javadoc/2.9/com/fasterxml/jackson/databind/module/SimpleValueInstantiators.html,-1,121889,121886,Not provided,uses,uses
12,/home/runner/work/jackson-databind/jackson-databind/docs/javadoc/2.9/com/fasterxml/jackson/databind/jsontype/impl/package-tree.html,-1,121828,121826,Not provided,uses,uses
13,/home/runner/work/jackson-databind/jackson-databind/docs/javadoc/2.9/com/fasterxml/jackson/databind/jsontype/impl/package-summary.html,-1,121824,121822,Not provided,uses,uses
14,/home/runner/work/jackson-databind/jackson-databind/docs/javadoc/2.9/com/fasterxml/jackson/databind/jsontype/impl/package-frame.html,-1,121820,121818,Not provided,uses,uses
15,/home/runner/work/jackson-databind/jackson-databind/docs/javadoc/2.9/com/fasterxml/jackson/databind/jsontype/impl/class-use/TypeSerializerBase.html,-1,121816,121814,Not provided,uses,uses
16,/home/runner/work/jackson-databind/jackson-databind/docs/javadoc/2.9/com/fasterxml/jackson/databind/jsontype/impl/class-use/TypeNameIdResolver.html,-1,121812,121810,Not provided,uses,uses
17,/home/runner/work/jackson-databind/jackson-databind/docs/javadoc/2.9/com/fasterxml/jackson/databind/jsontype/impl/class-use/TypeIdResolverBase.html,-1,121808,121806,Not provided,uses,uses
18,/home/runner/work/jackson-databind/jackson-databind/docs/javadoc/2.9/com/fasterxml/jackson/databind/jsontype/impl/class-use/TypeDeserializerBase.html,-1,121804,121802,Not provided,uses,uses
19,/home/runner/work/jackson-databind/jackson-databind/docs/javadoc/2.9/com/fasterxml/jackson/databind/jsontype/impl/class-use/SubTypeValidator.html,-1,121800,121798,Not provided,uses,uses
20,/home/runner/work/jackson-databind/jackson-databind/docs/javadoc/2.9/com/fasterxml/jackson/databind/jsontype/impl/class-use/StdTypeResolverBuilder.html,-1,121796,121794,Not provided,uses,uses
21,/home/runner/work/jackson-databind/jackson-databind/docs/javadoc/2.9/com/fasterxml/jackson/databind/jsontype/impl/class-use/StdSubtypeResolver.html,-1,121792,121790,Not provided,uses,uses
22,/home/runner/work/jackson-databind/jackson-databind/docs/javadoc/2.9/com/fasterxml/jackson/databind/module/SimpleSerializers.html,-1,121884,121879,Not provided,uses,uses
23,/home/runner/work/jackson-databind/jackson-databind/docs/javadoc/2.9/com/fasterxml/jackson/databind/module/class-use/SimpleDeserializers.html,-1,121899,121897,Not provided,uses,uses
24,/home/runner/work/jackson-databind/jackson-databind/docs/javadoc/2.9/com/fasterxml/jackson/databind/jsontype/impl/class-use/ClassNameIdResolver.html,-1,121784,121782,Not provided,uses,uses
25,/home/runner/work/jackson-databind/jackson-databind/docs/javadoc/2.9/com/fasterxml/jackson/databind/module/class-use/SimpleKeyDeserializers.html,-1,121903,121901,Not provided,uses,uses
26,/home/runner/work/jackson-databind/jackson-databind/docs/javadoc/2.9/com/fasterxml/jackson/databind/node/MissingNode.html,-1,122037,122033,Not provided,uses,uses
27,/home/runner/work/jackson-databind/jackson-databind/docs/javadoc/2.9/com/fasterxml/jackson/databind/node/LongNode.html,-1,122031,122026,Not provided,uses,uses
28,/home/runner/work/jackson-databind/jackson-databind/docs/javadoc/2.9/com/fasterxml/jackson/databind/node/JsonNodeType.html,-1,122024,122021,Not provided,uses,uses
29,/home/runner/work/jackson-databind/jackson-databind/docs/javadoc/2.9/com/fasterxml/jackson/databind/node/JsonNodeFactory.html,-1,122019,122014,Not provided,uses,uses
30,/home/runner/work/jackson-databind/jackson-databind/docs/javadoc/2.9/com/fasterxml/jackson/databind/node/JsonNodeCreator.html,-1,122012,122009,Not provided,uses,uses
31,/home/runner/work/jackson-databind/jackson-databind/docs/javadoc/2.9/com/fasterxml/jackson/databind/node/IntNode.html,-1,122007,122002,Not provided,uses,uses
32,/home/runner/work/jackson-databind/jackson-databind/docs/javadoc/2.9/com/fasterxml/jackson/databind/node/FloatNode.html,-1,122000,121995,Not provided,uses,uses
33,/home/runner/work/jackson-databind/jackson-databind/docs/javadoc/2.9/com/fasterxml/jackson/databind/node/DoubleNode.html,-1,121993,121988,Not provided,uses,uses
34,/home/runner/work/jackson-databind/jackson-databind/docs/javadoc/2.9/com/fasterxml/jackson/databind/node/DecimalNode.html,-1,121986,121981,Not provided,uses,uses
35,/home/runner/work/jackson-databind/jackson-databind/docs/javadoc/2.9/com/fasterxml/jackson/databind/node/ContainerNode.html,-1,121979,121973,Not provided,uses,uses
36,/home/runner/work/jackson-databind/jackson-databind/docs/javadoc/2.9/com/fasterxml/jackson/databind/node/BooleanNode.html,-1,121971,121967,Not provided,uses,uses
37,/home/runner/work/jackson-databind/jackson-databind/docs/javadoc/2.9/com/fasterxml/jackson/databind/node/BinaryNode.html,-1,121965,121961,Not provided,uses,uses
38,/home/runner/work/jackson-databind/jackson-databind/docs/javadoc/2.9/com/fasterxml/jackson/databind/node/BigIntegerNode.html,-1,121959,121954,Not provided,uses,uses
39,/home/runner/work/jackson-databind/jackson-databind/docs/javadoc/2.9/com/fasterxml/jackson/databind/node/BaseJsonNode.html,-1,121952,121948,Not provided,uses,uses
