,file_name,last_access_index,last_modify_index,creation_index,last_access_step,last_modify_step,creation_step
0,/home/runner/work/javassist/javassist/target/javassist-3.29.2-GA.jar,-1,744433,731885,Not provided,BuildwithMaven,BuildwithMaven
1,/home/runner/work/javassist/javassist/target/javassist-3.29.2-GA-sources.jar,-1,751320,744695,Not provided,BuildwithMaven,BuildwithMaven
2,/home/runner/work/javassist/javassist/target/classes/META-INF/MANIFEST.MF,329944,744665,267639,BuildwithMaven,BuildwithMaven,BuildwithMaven
3,/home/runner/work/javassist/javassist/target/runtest/test1/AnnoTest.class,-1,328233,328175,Not provided,BuildwithMaven,BuildwithMaven
4,/home/runner/work/javassist/javassist/target/runtest/test-hibernate.class,-1,328472,328428,Not provided,BuildwithMaven,BuildwithMaven
5,/home/runner/work/javassist/javassist/target/runtest/TooManyConstPoolItems.class,-1,327804,327758,Not provided,BuildwithMaven,BuildwithMaven
6,/home/runner/work/javassist/javassist/target/surefire-reports/TEST-javassist.JvstTest.xml,-1,329558,329551,Not provided,BuildwithMaven,BuildwithMaven
7,/home/runner/work/javassist/javassist/target/maven-status/maven-compiler-plugin/compile/default-compile/inputFiles.lst,-1,4854,4850,Not provided,BuildwithMaven,BuildwithMaven
8,/home/runner/work/javassist/javassist/target/maven-status/maven-compiler-plugin/compile/default-compile/createdFiles.lst,-1,4848,4844,Not provided,BuildwithMaven,BuildwithMaven
9,/home/runner/work/javassist/javassist/target/maven-status/maven-compiler-plugin/testCompile/default-testCompile/inputFiles.lst,-1,273829,273825,Not provided,BuildwithMaven,BuildwithMaven
10,/home/runner/work/javassist/javassist/tutorial/tutorial2.html,-1,2691,2687,Not provided,uses21,uses21
11,/home/runner/work/javassist/javassist/tutorial/tutorial.html,-1,2685,2681,Not provided,uses21,uses21
12,/home/runner/work/javassist/javassist/target/runtest/test3/JIRA63.class,-1,277042,277033,Not provided,BuildwithMaven,BuildwithMaven
13,/home/runner/work/javassist/javassist/target/maven-status/maven-compiler-plugin/testCompile/default-testCompile/createdFiles.lst,-1,273823,273819,Not provided,BuildwithMaven,BuildwithMaven
14,/home/runner/work/javassist/javassist/License.html,-1,1169,1166,Not provided,uses21,uses21
15,/home/runner/work/javassist/javassist/target/test-classes/test4/GetAllRefInnerTest2$1.class,-1,272129,272127,Not provided,BuildwithMaven,BuildwithMaven
16,/home/runner/work/javassist/javassist/target/test-classes/test4/GetAllRefInnerTest2.class,-1,272133,272131,Not provided,BuildwithMaven,BuildwithMaven
17,/home/runner/work/javassist/javassist/target/test-classes/test4/GetAllRefInnerTest$1.class,-1,272137,272135,Not provided,BuildwithMaven,BuildwithMaven
18,/home/runner/work/javassist/javassist/target/test-classes/test4/GetAllRefInnerTest$2.class,-1,272141,272139,Not provided,BuildwithMaven,BuildwithMaven
19,/home/runner/work/javassist/javassist/target/test-classes/test5/JIRA246.class,-1,272071,272069,Not provided,BuildwithMaven,BuildwithMaven
20,/home/runner/work/javassist/javassist/target/test-classes/testproxy/Target127$RealSub.class,-1,270862,270860,Not provided,BuildwithMaven,BuildwithMaven
21,/home/runner/work/javassist/javassist/target/test-classes/scoped/UnscopedAnnotationDefaultUsage.class,-1,271988,271986,Not provided,BuildwithMaven,BuildwithMaven
