,file_name,last_access_index,last_modify_index,creation_index,last_access_step,last_modify_step,creation_step
0,/home/runner/work/jv-array-list/jv-array-list/target/surefire/surefirebooter3990676692513428605.jar,2146,2113,1972,BuildwithMaven,BuildwithMaven,BuildwithMaven
1,/home/runner/work/jv-array-list/jv-array-list/target/checkstyle-checker.xml,1719,1715,1705,BuildwithMaven,BuildwithMaven,BuildwithMaven
2,/home/runner/work/jv-array-list/jv-array-list/target/surefire/surefire693377731984298148tmp,2152,1963,1957,BuildwithMaven,BuildwithMaven,BuildwithMaven
3,/home/runner/work/jv-array-list/jv-array-list/target/surefire/surefire_0953299794035603690tmp,2148,1970,1965,BuildwithMaven,BuildwithMaven,BuildwithMaven
4,/home/runner/work/jv-array-list/jv-array-list/target/classes/core/basesyntax/ArrayListIndexOutOfBoundsException.class,2164,1637,1635,BuildwithMaven,BuildwithMaven,BuildwithMaven
5,/home/runner/work/jv-array-list/jv-array-list/target/test-classes/core/basesyntax/ArrayListTest.class,2158,1895,1893,BuildwithMaven,BuildwithMaven,BuildwithMaven
6,/home/runner/work/jv-array-list/jv-array-list/target/checkstyle-result.xml,1746,1739,1671,BuildwithMaven,BuildwithMaven,BuildwithMaven
7,/home/runner/work/jv-array-list/jv-array-list/src/test/java/core/basesyntax/Cat.java,1841,945,940,BuildwithMaven,uses-checkout,uses-checkout
8,/home/runner/work/jv-array-list/jv-array-list/src/test/java/core/basesyntax/ArrayListTest.java,1844,937,930,BuildwithMaven,uses-checkout,uses-checkout
9,/home/runner/work/jv-array-list/jv-array-list/src/main/java/core/basesyntax/List.java,1731,924,919,BuildwithMaven,uses-checkout,uses-checkout
10,/home/runner/work/jv-array-list/jv-array-list/src/main/java/core/basesyntax/ArrayListIndexOutOfBoundsException.java,1737,916,911,BuildwithMaven,uses-checkout,uses-checkout
11,/home/runner/work/jv-array-list/jv-array-list/pom.xml,1538,897,892,BuildwithMaven,uses-checkout,uses-checkout
12,/home/runner/work/jv-array-list/jv-array-list/target/classes/core/basesyntax/List.class,2161,1633,1631,BuildwithMaven,BuildwithMaven,BuildwithMaven
13,/home/runner/work/jv-array-list/jv-array-list/.github/workflows/script.py,2221,873,868,finished,uses-checkout,uses-checkout
14,/home/runner/work/jv-array-list/jv-array-list/src/main/java/core/basesyntax/ArrayList.java,1725,907,-1,BuildwithMaven,uses-checkout,Not provided
15,/home/runner/work/jv-array-list/jv-array-list/target/classes/core/basesyntax/ArrayList.class,2168,1629,-1,BuildwithMaven,BuildwithMaven,Not provided
16,/home/runner/work/jv-array-list/jv-array-list/target/test-classes/core/basesyntax/Cat.class,2171,1885,-1,BuildwithMaven,BuildwithMaven,Not provided
