,file_name,last_access_index,last_modify_index,creation_index,last_access_step,last_modify_step,creation_step
0,/home/runner/work/jv-linked-list/jv-linked-list/target/surefire-reports/TEST-core.basesyntax.MyLinkedListTest.xml,-1,2032,2028,Not provided,BuildwithMaven,BuildwithMaven
1,/home/runner/work/jv-linked-list/jv-linked-list/target/surefire-reports/core.basesyntax.MyLinkedListTest.txt,-1,2026,-1,Not provided,BuildwithMaven,Not provided
2,/home/runner/work/jv-linked-list/jv-linked-list/.github/workflows/ci.yml,-1,838,833,Not provided,uses10,uses10
3,/home/runner/work/jv-linked-list/jv-linked-list/.gitignore,-1,854,849,Not provided,uses10,uses10
4,/home/runner/work/jv-linked-list/jv-linked-list/README.md,-1,862,857,Not provided,uses10,uses10
5,/home/runner/work/jv-linked-list/jv-linked-list/target/maven-status/maven-compiler-plugin/testCompile/default-testCompile/inputFiles.lst,-1,1863,1861,Not provided,BuildwithMaven,BuildwithMaven
6,/home/runner/work/jv-linked-list/jv-linked-list/target/maven-status/maven-compiler-plugin/compile/default-compile/createdFiles.lst,-1,1618,1616,Not provided,BuildwithMaven,BuildwithMaven
7,/home/runner/work/jv-linked-list/jv-linked-list/target/maven-status/maven-compiler-plugin/compile/default-compile/inputFiles.lst,-1,1622,1620,Not provided,BuildwithMaven,BuildwithMaven
8,/home/runner/work/jv-linked-list/jv-linked-list/target/maven-status/maven-compiler-plugin/testCompile/default-testCompile/createdFiles.lst,-1,1859,1857,Not provided,BuildwithMaven,BuildwithMaven
9,/home/runner/work/jv-linked-list/jv-linked-list/target/checkstyle-cachefile,-1,1690,1688,Not provided,BuildwithMaven,BuildwithMaven
