,file_name,last_access_index,last_modify_index,creation_index,last_access_step,last_modify_step,creation_step
0,/home/runner/work/kafdrop/kafdrop/target/kafdrop-3.31.0-SNAPSHOT.jar,8164,11381,7135,BuildwithMaven,BuildwithMaven,BuildwithMaven
1,/home/runner/work/kafdrop/kafdrop/src/main/resources/static/fonts/fontawesome-webfont.svg,-1,1489,1465,Not provided,uses16,uses16
2,/home/runner/work/kafdrop/kafdrop/src/main/resources/static/js/bootstrap.bundle.min.js.map,-1,1670,1649,Not provided,uses16,uses16
3,/home/runner/work/kafdrop/kafdrop/src/main/resources/static/css/bootstrap.min.css,-1,1434,1421,Not provided,uses16,uses16
4,/home/runner/work/kafdrop/kafdrop/src/main/resources/static/fonts/fontawesome-webfont.ttf,-1,1500,1491,Not provided,uses16,uses16
5,/home/runner/work/kafdrop/kafdrop/src/main/resources/static/js/jquery-3.5.1.slim.min.map,-1,1696,1688,Not provided,uses16,uses16
6,/home/runner/work/kafdrop/kafdrop/src/main/resources/static/fonts/FontAwesome.otf,-1,1455,-1,Not provided,uses16,Not provided
7,/home/runner/work/kafdrop/kafdrop/src/main/resources/static/fonts/glyphicons-halflings-regular.svg,-1,1529,1521,Not provided,uses16,uses16
8,/home/runner/work/kafdrop/kafdrop/src/main/resources/static/fonts/lato-v16-latin-ext_latin-regular.svg,-1,1618,1612,Not provided,uses16,uses16
9,/home/runner/work/kafdrop/kafdrop/src/main/resources/static/fonts/lato-v16-latin-ext_latin-700italic.ttf,-1,1595,1589,Not provided,uses16,uses16
10,/home/runner/work/kafdrop/kafdrop/src/main/resources/static/js/jquery-3.5.1.slim.min.js,-1,1686,1680,Not provided,uses16,uses16
11,/home/runner/work/kafdrop/kafdrop/src/main/resources/static/fonts/lato-v16-latin-ext_latin-700italic.svg,-1,1587,1581,Not provided,uses16,uses16
12,/home/runner/work/kafdrop/kafdrop/docs/images/overview.png,-1,1135,-1,Not provided,uses16,Not provided
13,/home/runner/work/kafdrop/kafdrop/src/main/resources/static/fonts/lato-v16-latin-ext_latin-700.svg,-1,1557,1551,Not provided,uses16,uses16
14,/home/runner/work/kafdrop/kafdrop/src/main/resources/static/fonts/fontawesome-webfont.woff,-1,1508,1502,Not provided,uses16,uses16
15,/home/runner/work/kafdrop/kafdrop/src/main/resources/static/fonts/fontawesome-webfont.eot,-1,1463,1457,Not provided,uses16,uses16
16,/home/runner/work/kafdrop/kafdrop/.mvn/wrapper/maven-wrapper.jar,-1,1068,1063,Not provided,uses16,uses16
17,/home/runner/work/kafdrop/kafdrop/src/main/resources/static/fonts/fontawesome-webfont.woff2,-1,1515,1510,Not provided,uses16,uses16
18,/home/runner/work/kafdrop/kafdrop/src/main/resources/static/fonts/lato-v16-latin-ext_latin-regular.ttf,-1,1625,1620,Not provided,uses16,uses16
19,/home/runner/work/kafdrop/kafdrop/src/main/resources/static/fonts/lato-v16-latin-ext_latin-700.ttf,-1,1564,1559,Not provided,uses16,uses16
20,/home/runner/work/kafdrop/kafdrop/target/surefire-reports/TEST-kafdrop.model.ConsumerPartitionVOTest.xml,-1,5933,-1,Not provided,BuildwithMaven,Not provided
21,/home/runner/work/kafdrop/kafdrop/src/main/resources/static/fonts/glyphicons-halflings-regular.ttf,-1,1535,1531,Not provided,uses16,uses16
22,/home/runner/work/kafdrop/kafdrop/src/main/resources/static/fonts/lato-v16-latin-ext_latin-700.woff2,-1,1574,1571,Not provided,uses16,uses16
23,/home/runner/work/kafdrop/kafdrop/src/main/resources/static/fonts/lato-v16-latin-ext_latin-700italic.woff,-1,1600,1597,Not provided,uses16,uses16
24,/home/runner/work/kafdrop/kafdrop/src/main/resources/static/fonts/lato-v16-latin-ext_latin-700italic.woff2,-1,1605,1602,Not provided,uses16,uses16
25,/home/runner/work/kafdrop/kafdrop/src/main/resources/static/fonts/lato-v16-latin-ext_latin-regular.eot,-1,1610,1607,Not provided,uses16,uses16
26,/home/runner/work/kafdrop/kafdrop/src/main/resources/static/fonts/lato-v16-latin-ext_latin-regular.woff,-1,1630,1627,Not provided,uses16,uses16
27,/home/runner/work/kafdrop/kafdrop/src/main/resources/static/fonts/lato-v16-latin-ext_latin-700italic.eot,-1,1579,1576,Not provided,uses16,uses16
28,/home/runner/work/kafdrop/kafdrop/src/main/resources/static/fonts/lato-v16-latin-ext_latin-regular.woff2,-1,1635,1632,Not provided,uses16,uses16
29,/home/runner/work/kafdrop/kafdrop/src/main/resources/static/fonts/glyphicons-halflings-regular.woff,-1,1540,1537,Not provided,uses16,uses16
30,/home/runner/work/kafdrop/kafdrop/src/main/resources/static/fonts/lato-v16-latin-ext_latin-700.woff,-1,1569,1566,Not provided,uses16,uses16
31,/home/runner/work/kafdrop/kafdrop/README.md,-1,1081,1078,Not provided,uses16,uses16
32,/home/runner/work/kafdrop/kafdrop/src/main/resources/static/fonts/lato-v16-latin-ext_latin-700.eot,-1,1549,1546,Not provided,uses16,uses16
33,/home/runner/work/kafdrop/kafdrop/src/main/resources/static/css/font-awesome.min.css,-1,1439,1436,Not provided,uses16,uses16
34,/home/runner/work/kafdrop/kafdrop/target/surefire-reports/TEST-kafdrop.KafdropTest.xml,-1,6839,6836,Not provided,BuildwithMaven,BuildwithMaven
35,/home/runner/work/kafdrop/kafdrop/src/main/resources/static/css/baseless.min.css,-1,1419,-1,Not provided,uses16,Not provided
36,/home/runner/work/kafdrop/kafdrop/target/failsafe-reports/TEST-kafdrop.KafdropIT.xml,-1,12457,12454,Not provided,BuildwithMaven,BuildwithMaven
37,/home/runner/work/kafdrop/kafdrop/target/test-classes/sasl-ssl.properties,-1,5291,5289,Not provided,BuildwithMaven,BuildwithMaven
38,/home/runner/work/kafdrop/kafdrop/target/maven-status/maven-compiler-plugin/compile/default-compile/inputFiles.lst,-1,5274,5272,Not provided,BuildwithMaven,BuildwithMaven
39,/home/runner/work/kafdrop/kafdrop/target/maven-status/maven-compiler-plugin/compile/default-compile/createdFiles.lst,-1,5270,5268,Not provided,BuildwithMaven,BuildwithMaven
40,/home/runner/work/kafdrop/kafdrop/target/test-classes/person.proto,-1,5307,5305,Not provided,BuildwithMaven,BuildwithMaven
41,/home/runner/work/kafdrop/kafdrop/target/test-classes/person.desc,-1,5299,5297,Not provided,BuildwithMaven,BuildwithMaven
42,/home/runner/work/kafdrop/kafdrop/target/failsafe-reports/kafdrop.KafdropIT.txt,-1,12452,-1,Not provided,BuildwithMaven,Not provided
43,/home/runner/work/kafdrop/kafdrop/target/surefire-reports/kafdrop.KafdropTest.txt,-1,6834,6832,Not provided,BuildwithMaven,BuildwithMaven
44,/home/runner/work/kafdrop/kafdrop/target/maven-status/maven-compiler-plugin/testCompile/default-testCompile/inputFiles.lst,-1,5646,5644,Not provided,BuildwithMaven,BuildwithMaven
45,/home/runner/work/kafdrop/kafdrop/target/maven-status/maven-compiler-plugin/testCompile/default-testCompile/createdFiles.lst,-1,5642,5640,Not provided,BuildwithMaven,BuildwithMaven
46,/home/runner/work/kafdrop/kafdrop/theme/_bootswatch.scss,-1,1832,-1,Not provided,uses16,Not provided
47,/home/runner/work/kafdrop/kafdrop/src/main/assembly/bin.xml,-1,1160,1156,Not provided,uses16,uses16
48,/home/runner/work/kafdrop/kafdrop/mvnw.cmd,-1,1147,1145,Not provided,uses16,uses16
49,/home/runner/work/kafdrop/kafdrop/mvnw,-1,1143,1141,Not provided,uses16,uses16
50,/home/runner/work/kafdrop/kafdrop/kaas_local_jaas.conf,-1,1139,1137,Not provided,uses16,uses16
51,/home/runner/work/kafdrop/kafdrop/chart/values.yaml,-1,1121,1119,Not provided,uses16,uses16
52,/home/runner/work/kafdrop/kafdrop/.github/dependabot.yml,-1,1025,1023,Not provided,uses16,uses16
53,/home/runner/work/kafdrop/kafdrop/chart/templates/service.yaml,-1,1117,1115,Not provided,uses16,uses16
54,/home/runner/work/kafdrop/kafdrop/chart/templates/ingress.yaml,-1,1113,1111,Not provided,uses16,uses16
55,/home/runner/work/kafdrop/kafdrop/chart/templates/deployment.yaml,-1,1109,1107,Not provided,uses16,uses16
56,/home/runner/work/kafdrop/kafdrop/chart/templates/_helpers.tpl,-1,1105,1103,Not provided,uses16,uses16
57,/home/runner/work/kafdrop/kafdrop/chart/templates/NOTES.txt,-1,1101,1099,Not provided,uses16,uses16
58,/home/runner/work/kafdrop/kafdrop/chart/Chart.yaml,-1,1093,1091,Not provided,uses16,uses16
59,/home/runner/work/kafdrop/kafdrop/chart/.helmignore,-1,1089,1087,Not provided,uses16,uses16
60,/home/runner/work/kafdrop/kafdrop/LICENSE,-1,1076,1074,Not provided,uses16,uses16
61,/home/runner/work/kafdrop/kafdrop/.mvn/wrapper/maven-wrapper.properties,-1,1072,1070,Not provided,uses16,uses16
62,/home/runner/work/kafdrop/kafdrop/.mvn/wrapper/MavenWrapperDownloader.java,-1,1061,1059,Not provided,uses16,uses16
63,/home/runner/work/kafdrop/kafdrop/.gitignore,-1,1049,1047,Not provided,uses16,uses16
64,/home/runner/work/kafdrop/kafdrop/.github/workflows/pull_request.yml,-1,1041,1039,Not provided,uses16,uses16
65,/home/runner/work/kafdrop/kafdrop/.github/workflows/master.yml,-1,1037,1035,Not provided,uses16,uses16
66,/home/runner/work/kafdrop/kafdrop/.github/workflows/close_inactive_issues.yml,-1,1033,1031,Not provided,uses16,uses16
67,/home/runner/work/kafdrop/kafdrop/src/test/resources/person.proto,-1,1822,1820,Not provided,uses16,uses16
68,/home/runner/work/kafdrop/kafdrop/src/test/resources/person.desc,-1,1818,-1,Not provided,uses16,Not provided
69,/home/runner/work/kafdrop/kafdrop/src/test/resources/sasl-ssl.properties,-1,1826,1824,Not provided,uses16,uses16
70,/home/runner/work/kafdrop/kafdrop/theme/_variables.scss,-1,1836,1834,Not provided,uses16,uses16
71,/home/runner/work/kafdrop/kafdrop/theme/install.sh,-1,1840,1838,Not provided,uses16,uses16
72,/home/runner/work/kafdrop/kafdrop/target/docker-ready/Dockerfile,-1,2509,2506,Not provided,BuildwithMaven,BuildwithMaven
73,/home/runner/work/kafdrop/kafdrop/target/docker-ready/kafdrop.sh,-1,2501,2498,Not provided,BuildwithMaven,BuildwithMaven
74,/home/runner/work/kafdrop/kafdrop/src/main/resources/static/js/powerFilter.js,-1,1704,1702,Not provided,uses16,uses16
75,/home/runner/work/kafdrop/kafdrop/src/main/resources/static/js/message-inspector.js,-1,1700,1698,Not provided,uses16,uses16
76,/home/runner/work/kafdrop/kafdrop/src/main/resources/static/js/global.js,-1,1678,1676,Not provided,uses16,uses16
77,/home/runner/work/kafdrop/kafdrop/src/main/resources/static/js/github-buttons.js,-1,1674,1672,Not provided,uses16,uses16
78,/home/runner/work/kafdrop/kafdrop/src/main/resources/static/js/bootstrap.bundle.min.js,-1,1647,-1,Not provided,uses16,Not provided
79,/home/runner/work/kafdrop/kafdrop/src/main/resources/static/images/kafdrop-logo.svg,-1,1641,-1,Not provided,uses16,Not provided
80,/home/runner/work/kafdrop/kafdrop/src/main/resources/static/fonts/glyphicons-halflings-regular.woff2,-1,1544,1542,Not provided,uses16,uses16
81,/home/runner/work/kafdrop/kafdrop/src/main/resources/static/fonts/glyphicons-halflings-regular.eot,-1,1519,1517,Not provided,uses16,uses16
82,/home/runner/work/kafdrop/kafdrop/src/main/resources/static/css/global.css,-1,1443,1441,Not provided,uses16,uses16
