,file_name,last_access_index,last_modify_index,creation_index,last_access_step,last_modify_step,creation_step
0,/home/runner/work/matsim-example-project/matsim-example-project/matsim-example-project-0.0.1-SNAPSHOT.jar,-1,19639,2718,Not provided,BuildwithMaven,BuildwithMaven
1,/home/runner/work/matsim-example-project/matsim-example-project/scenarios/equil/plans100.xml,-1,1327,1321,Not provided,uses18,uses18
2,/home/runner/work/matsim-example-project/matsim-example-project/test/input/org/matsim/project/RunMatsimTest/test/output_events.xml.gz,-1,1420,1412,Not provided,uses18,uses18
3,/home/runner/work/matsim-example-project/matsim-example-project/LICENSE,-1,1249,1243,Not provided,uses18,uses18
4,/home/runner/work/matsim-example-project/matsim-example-project/.mvn/wrapper/MavenWrapperDownloader.java,-1,1224,-1,Not provided,uses18,Not provided
5,/home/runner/work/matsim-example-project/matsim-example-project/.mvn/wrapper/maven-wrapper.properties,-1,1232,1227,Not provided,uses18,uses18
6,/home/runner/work/matsim-example-project/matsim-example-project/README.md,-1,1257,1252,Not provided,uses18,uses18
7,/home/runner/work/matsim-example-project/matsim-example-project/.travis.yml,-1,1240,1235,Not provided,uses18,uses18
8,/home/runner/work/matsim-example-project/matsim-example-project/.gitignore,-1,1205,1200,Not provided,uses18,uses18
9,/home/runner/work/matsim-example-project/matsim-example-project/mvnw,-1,1265,1260,Not provided,uses18,uses18
10,/home/runner/work/matsim-example-project/matsim-example-project/mvnw.cmd,-1,1273,1268,Not provided,uses18,uses18
11,/home/runner/work/matsim-example-project/matsim-example-project/original-input-data/README.md,-1,1283,-1,Not provided,uses18,Not provided
12,/home/runner/work/matsim-example-project/matsim-example-project/.gitlab-ci.yml,-1,1213,1208,Not provided,uses18,uses18
13,/home/runner/work/matsim-example-project/matsim-example-project/.github/workflows/maven.yml,-1,1197,1192,Not provided,uses18,uses18
14,/home/runner/work/matsim-example-project/matsim-example-project/scenarios/equil/counts100.xml,-1,1310,1305,Not provided,uses18,uses18
15,/home/runner/work/matsim-example-project/matsim-example-project/scenarios/equil/config.xml,-1,1302,-1,Not provided,uses18,Not provided
16,/home/runner/work/matsim-example-project/matsim-example-project/scenarios/equil/network.xml,-1,1318,1313,Not provided,uses18,uses18
17,/home/runner/work/matsim-example-project/matsim-example-project/src/main/R/README.md,-1,1338,-1,Not provided,uses18,Not provided
18,/home/runner/work/matsim-example-project/matsim-example-project/target/surefire-reports/TEST-org.matsim.project.RunMatsimTest.xml,-1,2251,2249,Not provided,BuildwithMaven,BuildwithMaven
19,/home/runner/work/matsim-example-project/matsim-example-project/target/maven-status/maven-compiler-plugin/testCompile/default-testCompile/inputFiles.lst,-1,2073,2071,Not provided,BuildwithMaven,BuildwithMaven
20,/home/runner/work/matsim-example-project/matsim-example-project/target/maven-status/maven-compiler-plugin/testCompile/default-testCompile/createdFiles.lst,-1,2069,2067,Not provided,BuildwithMaven,BuildwithMaven
21,/home/runner/work/matsim-example-project/matsim-example-project/target/maven-status/maven-compiler-plugin/compile/default-compile/inputFiles.lst,-1,1849,1847,Not provided,BuildwithMaven,BuildwithMaven
22,/home/runner/work/matsim-example-project/matsim-example-project/target/maven-status/maven-compiler-plugin/compile/default-compile/createdFiles.lst,-1,1845,1843,Not provided,BuildwithMaven,BuildwithMaven
23,/home/runner/work/matsim-example-project/matsim-example-project/test/input/org/matsim/project/RunMatsimTest/test/output_plans.xml.gz,-1,1428,1423,Not provided,uses18,uses18
24,/home/runner/work/matsim-example-project/matsim-example-project/src/main/python/README.md,-1,1393,-1,Not provided,uses18,Not provided
