,file_name,last_access_index,last_modify_index,creation_index,last_access_step,last_modify_step,creation_step
0,/home/runner/work/open-location-code/open-location-code/rust/target/debug/build/num-traits-69e66667b79f03a2/build_script_build-69e66667b79f03a2,36062,36063,28915,test,test,test
1,/home/runner/work/open-location-code/open-location-code/rust/target/debug/build/typenum-c6834d0d17283e8b/build_script_main-c6834d0d17283e8b,17070,17071,3411,test,test,test
2,/home/runner/work/open-location-code/open-location-code/rust/target/debug/build/generic-array-903d1130f9901a58/build_script_build-903d1130f9901a58,17021,17022,3793,test,test,test
3,/home/runner/work/open-location-code/open-location-code/rust/target/debug/build/libc-e82bc155865cb63b/build_script_build-e82bc155865cb63b,52419,52420,46637,test,test,test
4,/home/runner/work/open-location-code/open-location-code/rust/target/debug/build/heapless-1b58bb0b2a7c8c4b/build_script_build-1b58bb0b2a7c8c4b,42141,42142,37279,test,test,test
5,/home/runner/work/open-location-code/open-location-code/rust/target/debug/deps/rmetaVduEiB/lib.rmeta,-1,53052,-1,Not provided,test,Not provided
6,/home/runner/work/open-location-code/open-location-code/rust/target/debug/deps/rmetazGDHO8/lib.rmeta,-1,36383,-1,Not provided,test,Not provided
7,/home/runner/work/open-location-code/open-location-code/rust/target/debug/deps/rmetaqSSitW/lib.rmeta,-1,43089,-1,Not provided,test,Not provided
8,/home/runner/work/open-location-code/open-location-code/rust/target/debug/incremental/all_test-3iiadb8h2kf9w/s-gg49phi7tx-mppi97-working/dep-graph.part.bin,-1,70821,70309,Not provided,test,test
9,/home/runner/work/open-location-code/open-location-code/rust/target/debug/deps/rmetaIAw0O2/lib.rmeta,-1,44911,-1,Not provided,test,Not provided
10,/home/runner/work/open-location-code/open-location-code/rust/target/debug/incremental/open_location_code-26n249o1l9zw9/s-gg49pf64j9-140rgf3-working/dep-graph.part.bin,-1,45729,45070,Not provided,test,test
11,/home/runner/work/open-location-code/open-location-code/rust/target/debug/deps/rmetaZKxjdi/lib.rmeta,-1,54103,-1,Not provided,test,Not provided
12,/home/runner/work/open-location-code/open-location-code/rust/target/debug/deps/rmeta23pxpE/lib.rmeta,-1,43514,-1,Not provided,test,Not provided
13,/home/runner/work/open-location-code/open-location-code/rust/target/debug/deps/rmetaQn7vE0/lib.rmeta,-1,52661,52519,Not provided,test,test
14,/home/runner/work/open-location-code/open-location-code/rust/target/debug/deps/rmeta7DNmc3/lib.rmeta,-1,42760,42674,Not provided,test,test
15,/home/runner/work/open-location-code/open-location-code/rust/target/debug/deps/rmetaeK9RZv/lib.rmeta,-1,36746,-1,Not provided,test,Not provided
16,/home/runner/work/open-location-code/open-location-code/rust/target/debug/deps/rmeta5Nvy3F/lib.rmeta,-1,44044,-1,Not provided,test,Not provided
17,/home/runner/work/open-location-code/open-location-code/rust/target/debug/incremental/open_location_code-26n249o1l9zw9/s-gg49pf64j9-140rgf3-working/query-cache.bin,-1,45727,45656,Not provided,test,test
18,/home/runner/work/open-location-code/open-location-code/rust/target/debug/deps/rmeta4v9pOy/lib.rmeta,-1,44405,-1,Not provided,test,Not provided
19,/home/runner/work/open-location-code/open-location-code/rust/target/debug/deps/libopen_location_code-90e349a6db6790c8.rlib.temp-archive-6bfb065.a,-1,46019,45956,Not provided,test,test
20,/home/runner/work/open-location-code/open-location-code/rust/target/debug/incremental/open_location_code-edqcomx7kw0a/s-gg49ph437k-1g6pcjf-working/dep-graph.part.bin,-1,54615,54425,Not provided,test,test
21,/home/runner/work/open-location-code/open-location-code/rust/target/debug/deps/rmetaVEElEW/lib.rmeta,-1,36919,-1,Not provided,test,Not provided
22,/home/runner/work/open-location-code/open-location-code/rust/target/debug/deps/rmetaoQ5cZR/lib.rmeta,-1,36582,-1,Not provided,test,Not provided
23,/home/runner/work/open-location-code/open-location-code/docs/images/code_areas.png,-1,1810,-1,Not provided,uses160,Not provided
24,/home/runner/work/open-location-code/open-location-code/rust/target/debug/build/typenum-0dcaf07d87cfec64/out/tests.rs,-1,27699,27657,Not provided,test,test
25,/home/runner/work/open-location-code/open-location-code/rust/target/debug/deps/libgetrandom-a2d15492ce50bb24.rlib.temp-archive-8bec523.a,-1,53427,53388,Not provided,test,test
26,/home/runner/work/open-location-code/open-location-code/rust/target/debug/deps/rmeta7z3hy0/lib.rmeta,-1,43703,-1,Not provided,test,Not provided
27,/home/runner/work/open-location-code/open-location-code/rust/target/debug/deps/libversion_check-f3ba2af17f7828eb.rlib.temp-archive-05ae803.a,-1,3348,3309,Not provided,test,test
28,/home/runner/work/open-location-code/open-location-code/rust/target/debug/deps/libautocfg-94258bf7e34286ad.rlib.temp-archive-95bf86f.a,-1,28804,28766,Not provided,test,test
29,/home/runner/work/open-location-code/open-location-code/rust/target/debug/incremental/csv_reader-1okwgy2rdmi77/s-gg49ph47b4-x5f3ex-working/dep-graph.part.bin,-1,54609,54414,Not provided,test,test
30,/home/runner/work/open-location-code/open-location-code/rust/target/debug/deps/rmetaZKoSuH/lib.rmeta,-1,42337,-1,Not provided,test,Not provided
31,/home/runner/work/open-location-code/open-location-code/rust/target/debug/deps/rmetawePWoT/lib.rmeta,-1,42445,42419,Not provided,test,test
32,/home/runner/work/open-location-code/open-location-code/rust/target/debug/deps/librobust-642fcb4fcca93703.rlib.temp-archive-c390d6a.a,-1,44655,44629,Not provided,test,test
33,/home/runner/work/open-location-code/open-location-code/rust/target/debug/deps/liblibc-f7e9f491c2d5499c.rlib.temp-archive-83d8116.a,-1,53190,53163,Not provided,test,test
34,/home/runner/work/open-location-code/open-location-code/rust/target/debug/deps/rmeta33Ihui/lib.rmeta,-1,53728,-1,Not provided,test,Not provided
35,/home/runner/work/open-location-code/open-location-code/rust/target/debug/deps/libnum_traits-69ddac37962a1669.rlib.temp-archive-9508d1f.a,-1,43220,43195,Not provided,test,test
36,/home/runner/work/open-location-code/open-location-code/rust/target/debug/deps/librand_chacha-e9719111062aa5d5.rlib.temp-archive-3b46d3c.a,-1,53880,53856,Not provided,test,test
37,/home/runner/work/open-location-code/open-location-code/rust/target/debug/deps/libgeographiclib_rs-f4759f5129011987.rlib.temp-archive-89d30f7.a,-1,44278,44256,Not provided,test,test
38,/home/runner/work/open-location-code/open-location-code/rust/target/debug/deps/librand_core-0ae7c7ec205c45d6.rlib.temp-archive-0751f61.a,-1,53647,53625,Not provided,test,test
39,/home/runner/work/open-location-code/open-location-code/rust/target/debug/deps/librand-03adfa789523cf50.rlib.temp-archive-1e31e21.a,-1,54235,54213,Not provided,test,test
40,/home/runner/work/open-location-code/open-location-code/rust/target/debug/deps/rmetaqeQQCZ/lib.rmeta,-1,53497,-1,Not provided,test,Not provided
41,/home/runner/work/open-location-code/open-location-code/rust/target/debug/deps/libgeo-3e2deb6ab45d68b4.rlib.temp-archive-7a22c32.a,-1,45152,45132,Not provided,test,test
42,/home/runner/work/open-location-code/open-location-code/rust/target/debug/deps/rmetatpLA3t/lib.rmeta,-1,43755,43724,Not provided,test,test
43,/home/runner/work/open-location-code/open-location-code/docs/images/olc_11_grid.png,-1,1856,1837,Not provided,uses160,uses160
44,/home/runner/work/open-location-code/open-location-code/docs/images/olc_10_character.png,-1,1835,1816,Not provided,uses160,uses160
45,/home/runner/work/open-location-code/open-location-code/rust/target/debug/deps/rmetaY4UYqH/lib.rmeta,-1,28649,28626,Not provided,test,test
46,/home/runner/work/open-location-code/open-location-code/rust/target/debug/deps/rmeta1tIEkA/lib.rmeta,-1,43340,43311,Not provided,test,test
47,/home/runner/work/open-location-code/open-location-code/rust/target/debug/deps/rmetaYo8UVm/lib.rmeta,-1,44126,44063,Not provided,test,test
48,/home/runner/work/open-location-code/open-location-code/android_demo/android/src/main/res/drawable-xxhdpi/welcome_image.png,-1,1446,1432,Not provided,uses160,uses160
49,/home/runner/work/open-location-code/open-location-code/rust/target/debug/deps/rmetagwYiI4/lib.rmeta,-1,3139,-1,Not provided,test,Not provided
50,/home/runner/work/open-location-code/open-location-code/rust/target/debug/deps/rmetaM7UkCC/lib.rmeta,-1,53246,-1,Not provided,test,Not provided
51,/home/runner/work/open-location-code/open-location-code/rust/target/debug/deps/libtypenum-a434525031b05189.rlib.temp-archive-f8d17d7.a,-1,36444,36433,Not provided,test,test
52,/home/runner/work/open-location-code/open-location-code/rust/target/debug/deps/libgeo_types-a52efa5102904567.rlib.temp-archive-f3efb0f.a,-1,44476,44466,Not provided,test,test
53,/home/runner/work/open-location-code/open-location-code/rust/target/debug/deps/rmetajBVj8e/lib.rmeta,-1,44513,-1,Not provided,test,Not provided
54,/home/runner/work/open-location-code/open-location-code/rust/target/debug/deps/libsmallvec-1d00c5ff0baecfe7.rlib.temp-archive-08dc2b6.a,-1,43790,43782,Not provided,test,test
55,/home/runner/work/open-location-code/open-location-code/android_demo/android/src/main/res/drawable-xhdpi/welcome_image.png,-1,1416,1408,Not provided,uses160,uses160
56,/home/runner/work/open-location-code/open-location-code/rust/target/debug/deps/rmetaZAym3K/lib.rmeta,-1,45350,-1,Not provided,test,Not provided
57,/home/runner/work/open-location-code/open-location-code/rust/target/debug/deps/libgeneric_array-0a4cf13e8a45026c.rlib.temp-archive-21b0471.a,-1,36626,36620,Not provided,test,test
58,/home/runner/work/open-location-code/open-location-code/rust/target/debug/deps/libgeneric_array-3617b33ce4d9ac77.rlib.temp-archive-2ad9ce0.a,-1,36963,36957,Not provided,test,test
59,/home/runner/work/open-location-code/open-location-code/rust/target/debug/deps/rmetaCgAulv/lib.rmeta,-1,43900,43894,Not provided,test,test
60,/home/runner/work/open-location-code/open-location-code/rust/target/debug/deps/libppv_lite86-4a42dea34d09aafe.rlib.temp-archive-ae7491f.a,-1,52688,52683,Not provided,test,test
61,/home/runner/work/open-location-code/open-location-code/rust/target/debug/incremental/open_location_code-edqcomx7kw0a/s-gg49ph437k-1g6pcjf-working/query-cache.bin,-1,54613,54598,Not provided,test,test
62,/home/runner/work/open-location-code/open-location-code/rust/target/debug/deps/libbyteorder-81d4eda7af82bedd.rlib.temp-archive-0f4c9ae.a,-1,42372,42367,Not provided,test,test
63,/home/runner/work/open-location-code/open-location-code/rust/target/debug/incremental/csv_reader-1okwgy2rdmi77/s-gg49ph47b4-x5f3ex-working/query-cache.bin,-1,54607,54600,Not provided,test,test
64,/home/runner/work/open-location-code/open-location-code/rust/target/debug/deps/librstar-99db5e98c84e2980.rlib.temp-archive-8bb484a.a,-1,44099,44095,Not provided,test,test
65,/home/runner/work/open-location-code/open-location-code/android_demo/gradle/wrapper/gradle-wrapper.jar,-1,1544,-1,Not provided,uses160,Not provided
66,/home/runner/work/open-location-code/open-location-code/rust/target/debug/deps/libgeneric_array-a69fcfdf06520730.rlib.temp-archive-af3fda1.a,-1,36792,36788,Not provided,test,test
67,/home/runner/work/open-location-code/open-location-code/rust/target/debug/deps/rmetaDIHunr/lib.rmeta,-1,37045,-1,Not provided,test,Not provided
68,/home/runner/work/open-location-code/open-location-code/rust/target/debug/deps/libstable_deref_trait-d3f6942d1db8a72e.rlib.temp-archive-d2e3d5b.a,-1,37071,37067,Not provided,test,test
69,/home/runner/work/open-location-code/open-location-code/rust/target/debug/deps/libas_slice-4b6dcab22957d256.rlib.temp-archive-8314530.a,-1,42791,42787,Not provided,test,test
70,/home/runner/work/open-location-code/open-location-code/rust/target/debug/deps/version_check-f3ba2af17f7828eb.version_check.d6610b8a-cgu.4.rcgu.o,-1,3250,3244,Not provided,test,test
71,/home/runner/work/open-location-code/open-location-code/rust/target/debug/deps/open_location_code-90e349a6db6790c8.5brty8nqbqkfluj2.rcgu.o,-1,45518,45498,Not provided,test,test
72,/home/runner/work/open-location-code/open-location-code/rust/target/debug/deps/open_location_code-90e349a6db6790c8.y0orfad3mnh26sd.rcgu.o,-1,45476,45464,Not provided,test,test
73,/home/runner/work/open-location-code/open-location-code/rust/target/debug/deps/libc-f7e9f491c2d5499c.libc.b32a6809-cgu.7.rcgu.o,-1,53092,53089,Not provided,test,test
74,/home/runner/work/open-location-code/open-location-code/rust/target/debug/deps/version_check-f3ba2af17f7828eb.version_check.d6610b8a-cgu.10.rcgu.o,-1,3242,3235,Not provided,test,test
75,/home/runner/work/open-location-code/open-location-code/rust/target/debug/deps/open_location_code-90e349a6db6790c8.2obbzhxvju67rkvw.rcgu.o,-1,45492,45473,Not provided,test,test
76,/home/runner/work/open-location-code/open-location-code/rust/target/debug/deps/open_location_code-90e349a6db6790c8.1y84lv2vwam7e6n1.rcgu.o,-1,45509,45506,Not provided,test,test
77,/home/runner/work/open-location-code/open-location-code/rust/target/debug/deps/version_check-f3ba2af17f7828eb.version_check.d6610b8a-cgu.7.rcgu.o,-1,3287,3284,Not provided,test,test
