,file_name,last_access_index,last_modify_index,creation_index,last_access_step,last_modify_step,creation_step
0,/home/runner/work/pipelines-java/pipelines-java/LICENSE,1169,871,865,InitializeCodeQL,Checkoutrepository,Checkoutrepository
1,/home/runner/work/pipelines-java/pipelines-java/target/helloworld/index.jsp,2222,1875,1872,Autobuild,Autobuild,Autobuild
2,/home/runner/work/pipelines-java/pipelines-java/target/classes/com/microsoft/demo/Demo.class,1930,1524,1522,Autobuild,Autobuild,Autobuild
3,/home/runner/work/pipelines-java/pipelines-java/.github/workflows/script.py,3874,854,849,finished,Checkoutrepository,Checkoutrepository
4,/home/runner/work/pipelines-java/pipelines-java/src/main/webapp/index.jsp,1874,927,922,Autobuild,Checkoutrepository,Checkoutrepository
5,/home/runner/work/pipelines-java/pipelines-java/src/main/java/com/microsoft/demo/Demo.java,1534,908,901,Autobuild,Checkoutrepository,Checkoutrepository
6,/home/runner/work/pipelines-java/pipelines-java/pom.xml,3808,895,890,PerformCodeQLAnalysis,Checkoutrepository,Checkoutrepository
7,/home/runner/work/pipelines-java/pipelines-java/README.md,1196,887,882,InitializeCodeQL,Checkoutrepository,Checkoutrepository
8,/home/runner/work/pipelines-java/pipelines-java/LICENSE-CODE,1147,879,874,InitializeCodeQL,Checkoutrepository,Checkoutrepository
9,/home/runner/work/pipelines-java/pipelines-java/.gitignore,1199,862,857,InitializeCodeQL,Checkoutrepository,Checkoutrepository
10,/home/runner/work/pipelines-java/pipelines-java/target/helloworld/WEB-INF/web.xml,3820,1867,1864,PerformCodeQLAnalysis,Autobuild,Autobuild
11,/home/runner/work/pipelines-java/pipelines-java/.github/workflows/codeql-analysis.yml,1251,846,841,InitializeCodeQL,Checkoutrepository,Checkoutrepository
12,/home/runner/work/pipelines-java/pipelines-java/target/helloworld/WEB-INF/classes/com/microsoft/demo/Demo.class,2186,1931,1928,Autobuild,Autobuild,Autobuild
13,/home/runner/work/pipelines-java/pipelines-java/target/maven-archiver/pom.properties,2301,1941,1939,Autobuild,Autobuild,Autobuild
14,/home/runner/work/pipelines-java/pipelines-java/src/main/webapp/WEB-INF/web.xml,3814,919,-1,PerformCodeQLAnalysis,Checkoutrepository,Not provided
15,/home/runner/work/pipelines-java/pipelines-java/src/test/java/MyTest.java,1754,938,-1,Autobuild,Checkoutrepository,Not provided
