,file_name,last_access_index,last_modify_index,creation_index,last_access_step,last_modify_step,creation_step
0,/home/runner/work/soot/soot/eclipse/ca.mcgill.sable.soot.updatesite/plugins/ca.mcgill.sable.soot.lib_2.5.2.jar,-1,10459,9691,Not provided,Checkout,Checkout
1,/home/runner/work/soot/soot/target/sootclasses-trunk-jar-with-dependencies.jar,-1,95770,83676,Not provided,Deployartifacts,Deployartifacts
2,/home/runner/work/soot/soot/tutorial/guide/figures/intrap_packs.eps,-1,27979,27761,Not provided,Checkout,Checkout
3,/home/runner/work/soot/soot/target/sootclasses-trunk-javadoc.jar,-1,218252,166718,Not provided,Deployartifacts,Deployartifacts
4,/home/runner/work/soot/soot/eclipse/ca.mcgill.sable.soot/src/ca/mcgill/sable/soot/ui/PhaseOptionsDialog.java,-1,29682,11665,Not provided,Deployartifacts,Checkout
5,/home/runner/work/soot/soot/tutorial/guide/figures/interp_packs.eps,-1,27759,-1,Not provided,Checkout,Not provided
6,/home/runner/work/soot/soot/doc/soot_options.html,-1,29810,9464,Not provided,Deployartifacts,Checkout
7,/home/runner/work/soot/soot/target/sootclasses-trunk-sources.jar,-1,110675,98267,Not provided,Deployartifacts,Deployartifacts
8,/home/runner/work/soot/soot/tutorial/guide/figures/settingmain.eps,-1,28081,28018,Not provided,Checkout,Checkout
9,/home/runner/work/soot/soot/tutorial/guide/figures/vberun.eps,-1,28125,28083,Not provided,Checkout,Checkout
10,/home/runner/work/soot/soot/target/checkstyle-cachefile,-1,229888,229851,Not provided,Deployartifacts,Deployartifacts
11,/home/runner/work/soot/soot/tutorial/guide/figures/npcolorer.eps,-1,28016,27981,Not provided,Checkout,Checkout
12,/home/runner/work/soot/soot/target/maven-status/maven-compiler-plugin/compile/default-compile/inputFiles.lst,-1,58014,57984,Not provided,Deployartifacts,Deployartifacts
13,/home/runner/work/soot/soot/eclipse/ca.mcgill.sable.soot.updatesite/plugins/ca.mcgill.sable.soot_2.5.2.jar,-1,10488,10461,Not provided,Checkout,Checkout
14,/home/runner/work/soot/soot/doc/Testing Soot with Dex Support.pdf,-1,9429,9403,Not provided,Checkout,Checkout
15,/home/runner/work/soot/soot/doc/PLDI03_Tutorial.pdf,-1,9401,9376,Not provided,Checkout,Checkout
16,/home/runner/work/soot/soot/src/main/xml/options/soot_options.xml.orig,-1,26243,26219,Not provided,Checkout,Checkout
17,/home/runner/work/soot/soot/src/main/java/soot/javaToJimple/JimpleBodyBuilder.java_226022356996,-1,253735,253718,Not provided,Deployartifacts,Deployartifacts
18,/home/runner/work/soot/soot/doc/soot_options.htm,-1,9462,9446,Not provided,Checkout,Checkout
19,/home/runner/work/soot/soot/src/main/java/soot/coffi/CFG.java_226022356996,-1,238084,238072,Not provided,Deployartifacts,Deployartifacts
20,/home/runner/work/soot/soot/src/it/java_tests/T14rj2.java_226022356996,-1,236149,236139,Not provided,Deployartifacts,Deployartifacts
21,/home/runner/work/soot/soot/src/test/java/soot/toolkits/exceptions/UnitThrowAnalysisTest.java_226022356996,-1,232273,232264,Not provided,Deployartifacts,Deployartifacts
22,/home/runner/work/soot/soot/src/it/java_tests/T1414rj1.java_226022356996,-1,234650,234641,Not provided,Deployartifacts,Deployartifacts
23,/home/runner/work/soot/soot/src/it/java_tests/T14rj1.java_226022356996,-1,235379,235370,Not provided,Deployartifacts,Deployartifacts
24,/home/runner/work/soot/soot/src/main/java/soot/coffi/ClassFile.java_226022356996,-1,237977,237968,Not provided,Deployartifacts,Deployartifacts
25,/home/runner/work/soot/soot/src/main/java/soot/jimple/parser/Walker.java_226022356996,-1,252389,252381,Not provided,Deployartifacts,Deployartifacts
26,/home/runner/work/soot/soot/src/main/java/soot/toDex/DexPrinter.java_226022356996,-1,244020,244012,Not provided,Deployartifacts,Deployartifacts
27,/home/runner/work/soot/soot/src/systemTest/java/soot/asm/AsmMethodSourceOrigNamesTest.java_226022356996,-1,233135,233127,Not provided,Deployartifacts,Deployartifacts
28,/home/runner/work/soot/soot/tutorial/guide/soot.tex,-1,28146,28139,Not provided,Checkout,Checkout
29,/home/runner/work/soot/soot/src/main/java/soot/jimple/spark/ondemand/DemandCSPointsTo.java_226022356996,-1,247949,247942,Not provided,Deployartifacts,Deployartifacts
30,/home/runner/work/soot/soot/src/test/java/soot/toolkits/graph/GraphComparer.java_226022356996,-1,232193,232186,Not provided,Deployartifacts,Deployartifacts
31,/home/runner/work/soot/soot/src/main/java/soot/dexpler/typing/DalvikTyper.java_226022356996,-1,252643,252636,Not provided,Deployartifacts,Deployartifacts
32,/home/runner/work/soot/soot/src/main/java/soot/jimple/toolkits/thread/synchronization/LockableReferenceAnalysis.java_226022356996,-1,249430,249424,Not provided,Deployartifacts,Deployartifacts
