,file_name,last_access_index,last_modify_index,creation_index,last_access_step,last_modify_step,creation_step
0,/home/runner/work/spring-petclinic-rest/spring-petclinic-rest/target/site/jacoco/jacoco-sessions.html,-1,40996,40867,Not provided,BuildwithMaven,BuildwithMaven
1,/home/runner/work/spring-petclinic-rest/spring-petclinic-rest/.git/objects/pack/tmp_pack_RUCCnw,812,814,759,actionscheckout@v2,actionscheckout@v2,actionscheckout@v2
2,/home/runner/work/spring-petclinic-rest/spring-petclinic-rest/target/site/jacoco/jacoco.xml,-1,40998,39279,Not provided,BuildwithMaven,BuildwithMaven
3,/home/runner/work/_temp/_github_workflow/event.json,89,46894,-1,actionscheckout@v2,BuildwithMaven,Not provided
4,/home/runner/work/spring-petclinic-rest/spring-petclinic-rest/.git/config.lock,-1,1612,227,Not provided,actionscheckout@v2,actionscheckout@v2
5,/home/runner/work/spring-petclinic-rest/spring-petclinic-rest/target/site/jacoco/jacoco-resources/prettify.js,-1,39273,39264,Not provided,BuildwithMaven,BuildwithMaven
6,/home/runner/work/spring-petclinic-rest/spring-petclinic-rest/petclinic-ermodel.png,-1,1049,1044,Not provided,actionscheckout@v2,actionscheckout@v2
7,/home/runner/work/spring-petclinic-rest/spring-petclinic-rest/target/site/jacoco/org.springframework.samples.petclinic.service/ClinicServiceImpl.html,-1,40208,40204,Not provided,BuildwithMaven,BuildwithMaven
8,/home/runner/work/spring-petclinic-rest/spring-petclinic-rest/target/surefire-reports/TEST-org.springframework.samples.petclinic.rest.controller.OwnerRestControllerTests.xml,-1,10057,10053,Not provided,BuildwithMaven,BuildwithMaven
9,/home/runner/work/spring-petclinic-rest/spring-petclinic-rest/target/surefire-reports/TEST-org.springframework.samples.petclinic.service.clinicService.ClinicServiceJpaTests.xml,-1,14376,14372,Not provided,BuildwithMaven,BuildwithMaven
10,/home/runner/work/spring-petclinic-rest/spring-petclinic-rest/target/surefire-reports/TEST-org.springframework.samples.petclinic.service.clinicService.ClinicServiceJdbcTests.xml,-1,15706,15702,Not provided,BuildwithMaven,BuildwithMaven
11,/home/runner/work/spring-petclinic-rest/spring-petclinic-rest/target/site/jacoco/org.springframework.samples.petclinic.model/index.source.html,-1,40126,40123,Not provided,BuildwithMaven,BuildwithMaven
12,/home/runner/work/spring-petclinic-rest/spring-petclinic-rest/target/site/jacoco/org.springframework.samples.petclinic.repository.jdbc/JdbcOwnerRepositoryImpl.java.html,-1,40694,40689,Not provided,BuildwithMaven,BuildwithMaven
13,/home/runner/work/spring-petclinic-rest/spring-petclinic-rest/target/site/jacoco/org.springframework.samples.petclinic.repository.jpa/index.source.html,-1,40311,40308,Not provided,BuildwithMaven,BuildwithMaven
14,/home/runner/work/spring-petclinic-rest/spring-petclinic-rest/target/site/jacoco/org.springframework.samples.petclinic.repository.jdbc/JdbcPetRepositoryImpl.java.html,-1,40672,-1,Not provided,BuildwithMaven,Not provided
15,/home/runner/work/spring-petclinic-rest/spring-petclinic-rest/target/surefire-reports/TEST-org.springframework.samples.petclinic.service.userService.UserServiceSpringDataJpaTests.xml,-1,15803,15800,Not provided,BuildwithMaven,BuildwithMaven
16,/home/runner/work/spring-petclinic-rest/spring-petclinic-rest/target/surefire-reports/TEST-org.springframework.samples.petclinic.service.userService.UserServiceJdbcTests.xml,-1,15794,15791,Not provided,BuildwithMaven,BuildwithMaven
17,/home/runner/work/spring-petclinic-rest/spring-petclinic-rest/target/surefire-reports/TEST-org.springframework.samples.petclinic.service.userService.UserServiceJpaTests.xml,-1,15785,15782,Not provided,BuildwithMaven,BuildwithMaven
18,/home/runner/work/spring-petclinic-rest/spring-petclinic-rest/target/site/jacoco/org.springframework.samples.petclinic.rest.controller/index.source.html,-1,40506,40503,Not provided,BuildwithMaven,BuildwithMaven
19,/home/runner/work/spring-petclinic-rest/spring-petclinic-rest/target/site/jacoco/org.springframework.samples.petclinic.model/Owner.html,-1,40155,40152,Not provided,BuildwithMaven,BuildwithMaven
20,/home/runner/work/spring-petclinic-rest/spring-petclinic-rest/.mvn/wrapper/maven-wrapper.jar,-1,1026,1023,Not provided,actionscheckout@v2,actionscheckout@v2
21,/home/runner/work/spring-petclinic-rest/spring-petclinic-rest/target/site/jacoco/org.springframework.samples.petclinic.model/index.html,-1,40176,40173,Not provided,BuildwithMaven,BuildwithMaven
22,/home/runner/work/spring-petclinic-rest/spring-petclinic-rest/target/site/jacoco/org.springframework.samples.petclinic.service/ClinicServiceImpl.java.html,-1,40194,40188,Not provided,BuildwithMaven,BuildwithMaven
23,/home/runner/work/spring-petclinic-rest/spring-petclinic-rest/target/surefire-reports/TEST-org.springframework.samples.petclinic.service.clinicService.ClinicServiceSpringDataJpaTests.xml,-1,13091,13088,Not provided,BuildwithMaven,BuildwithMaven
24,/home/runner/work/spring-petclinic-rest/spring-petclinic-rest/target/site/jacoco/org.springframework.samples.petclinic.rest.controller/index.html,-1,40551,40548,Not provided,BuildwithMaven,BuildwithMaven
25,/home/runner/work/spring-petclinic-rest/spring-petclinic-rest/target/site/jacoco/org.springframework.samples.petclinic.rest.controller/OwnerRestController.java.html,-1,40480,40475,Not provided,BuildwithMaven,BuildwithMaven
26,/home/runner/work/spring-petclinic-rest/spring-petclinic-rest/target/site/jacoco/org.springframework.samples.petclinic.repository.jdbc/JdbcVisitRepositoryImpl.java.html,-1,40702,40697,Not provided,BuildwithMaven,BuildwithMaven
27,/home/runner/work/spring-petclinic-rest/spring-petclinic-rest/target/site/jacoco/org.springframework.samples.petclinic.mapper/index.html,-1,40435,40432,Not provided,BuildwithMaven,BuildwithMaven
28,/home/runner/work/spring-petclinic-rest/spring-petclinic-rest/target/site/jacoco/org.springframework.samples.petclinic.mapper/PetMapperImpl.java.html,-1,40361,40356,Not provided,BuildwithMaven,BuildwithMaven
29,/home/runner/work/spring-petclinic-rest/spring-petclinic-rest/target/site/jacoco/org.springframework.samples.petclinic.repository.jpa/index.html,-1,40344,40341,Not provided,BuildwithMaven,BuildwithMaven
30,/home/runner/work/spring-petclinic-rest/spring-petclinic-rest/.git/HEAD.lock,-1,1632,221,Not provided,actionscheckout@v2,actionscheckout@v2
31,/home/runner/work/spring-petclinic-rest/spring-petclinic-rest/target/site/jacoco/org.springframework.samples.petclinic.repository.jdbc/index.html,-1,40811,40808,Not provided,BuildwithMaven,BuildwithMaven
32,/home/runner/work/spring-petclinic-rest/spring-petclinic-rest/target/surefire-reports/TEST-org.springframework.samples.petclinic.SpringConfigTests.xml,-1,8452,-1,Not provided,BuildwithMaven,Not provided
33,/home/runner/work/spring-petclinic-rest/spring-petclinic-rest/.git/refs/heads/optimizing-ci-builds.lock,-1,1577,1574,Not provided,actionscheckout@v2,actionscheckout@v2
34,/home/runner/work/spring-petclinic-rest/spring-petclinic-rest/.git/refs/remotes/origin/optimizing-ci-builds.lock,-1,903,-1,Not provided,actionscheckout@v2,Not provided
35,/home/runner/work/spring-petclinic-rest/spring-petclinic-rest/target/site/jacoco/org.springframework.samples.petclinic.mapper/PetMapperImpl.html,-1,40406,40403,Not provided,BuildwithMaven,BuildwithMaven
36,/home/runner/work/spring-petclinic-rest/spring-petclinic-rest/target/site/jacoco/org.springframework.samples.petclinic.mapper/index.source.html,-1,40401,40398,Not provided,BuildwithMaven,BuildwithMaven
37,/home/runner/work/spring-petclinic-rest/spring-petclinic-rest/target/site/jacoco/index.html,-1,40841,40838,Not provided,BuildwithMaven,BuildwithMaven
38,/home/runner/work/spring-petclinic-rest/spring-petclinic-rest/target/site/jacoco/org.springframework.samples.petclinic.repository.jdbc/index.source.html,-1,40750,40747,Not provided,BuildwithMaven,BuildwithMaven
39,/home/runner/work/spring-petclinic-rest/spring-petclinic-rest/target/surefire-reports/TEST-org.springframework.samples.petclinic.model.ValidatorTests.xml,-1,8461,8458,Not provided,BuildwithMaven,BuildwithMaven
40,/home/runner/work/spring-petclinic-rest/spring-petclinic-rest/target/site/jacoco/org.springframework.samples.petclinic.repository.jdbc/JdbcVetRepositoryImpl.java.html,-1,40738,40733,Not provided,BuildwithMaven,BuildwithMaven
41,/home/runner/work/spring-petclinic-rest/spring-petclinic-rest/target/surefire-reports/TEST-org.springframework.samples.petclinic.rest.controller.PetTypeRestControllerTests.xml,-1,10073,10071,Not provided,BuildwithMaven,BuildwithMaven
42,/home/runner/work/spring-petclinic-rest/spring-petclinic-rest/target/surefire-reports/org.springframework.samples.petclinic.rest.controller.PetTypeRestControllerTests.txt,-1,10069,10067,Not provided,BuildwithMaven,BuildwithMaven
43,/home/runner/work/spring-petclinic-rest/spring-petclinic-rest/target/surefire-reports/TEST-org.springframework.samples.petclinic.rest.controller.SpecialtyRestControllerTests.xml,-1,10065,10063,Not provided,BuildwithMaven,BuildwithMaven
44,/home/runner/work/spring-petclinic-rest/spring-petclinic-rest/target/surefire-reports/org.springframework.samples.petclinic.rest.controller.SpecialtyRestControllerTests.txt,-1,10061,10059,Not provided,BuildwithMaven,BuildwithMaven
45,/home/runner/work/spring-petclinic-rest/spring-petclinic-rest/target/surefire-reports/TEST-org.springframework.samples.petclinic.rest.controller.VetRestControllerTests.xml,-1,10039,10037,Not provided,BuildwithMaven,BuildwithMaven
46,/home/runner/work/spring-petclinic-rest/spring-petclinic-rest/target/surefire-reports/org.springframework.samples.petclinic.rest.controller.OwnerRestControllerTests.txt,-1,10051,10049,Not provided,BuildwithMaven,BuildwithMaven
47,/home/runner/work/spring-petclinic-rest/spring-petclinic-rest/target/surefire-reports/org.springframework.samples.petclinic.rest.controller.VetRestControllerTests.txt,-1,10035,10033,Not provided,BuildwithMaven,BuildwithMaven
48,/home/runner/work/spring-petclinic-rest/spring-petclinic-rest/target/surefire-reports/TEST-org.springframework.samples.petclinic.rest.controller.VisitRestControllerTests.xml,-1,10047,10045,Not provided,BuildwithMaven,BuildwithMaven
49,/home/runner/work/spring-petclinic-rest/spring-petclinic-rest/target/surefire-reports/org.springframework.samples.petclinic.model.ValidatorTests.txt,-1,8456,8454,Not provided,BuildwithMaven,BuildwithMaven
50,/home/runner/work/spring-petclinic-rest/spring-petclinic-rest/target/surefire-reports/org.springframework.samples.petclinic.rest.controller.VisitRestControllerTests.txt,-1,10043,10041,Not provided,BuildwithMaven,BuildwithMaven
51,/home/runner/work/spring-petclinic-rest/spring-petclinic-rest/target/surefire-reports/org.springframework.samples.petclinic.service.clinicService.ClinicServiceJdbcTests.txt,-1,15700,15698,Not provided,BuildwithMaven,BuildwithMaven
52,/home/runner/work/spring-petclinic-rest/spring-petclinic-rest/target/surefire-reports/org.springframework.samples.petclinic.rest.controller.PetRestControllerTests.txt,-1,10077,10075,Not provided,BuildwithMaven,BuildwithMaven
53,/home/runner/work/spring-petclinic-rest/spring-petclinic-rest/target/site/jacoco/jacoco-resources/package.gif,-1,39210,39208,Not provided,BuildwithMaven,BuildwithMaven
54,/home/runner/work/spring-petclinic-rest/spring-petclinic-rest/target/site/jacoco/jacoco-resources/greenbar.gif,-1,39258,39256,Not provided,BuildwithMaven,BuildwithMaven
