,file_name,last_access_index,last_modify_index,creation_index,last_access_step,last_modify_step,creation_step
0,/home/runner/work/spring-petclinic-rest/spring-petclinic-rest/.git/config.lock,-1,1789,274,Not provided,uses,uses
1,/home/runner/work/spring-petclinic-rest/spring-petclinic-rest/.git/HEAD.lock,-1,1809,268,Not provided,uses,uses
2,/home/runner/work/_temp/_runner_file_commands/add_path_9f227c26-ae65-4eee-8271-1fb16107b49f,-1,14,12,Not provided,setup,setup
3,/home/runner/work/spring-petclinic-rest/spring-petclinic-rest/target/surefire-reports/TEST-org.springframework.samples.petclinic.rest.controller.UserRestControllerTests.xml,-1,13300,13297,Not provided,BuildwithMaven,BuildwithMaven
4,/home/runner/work/spring-petclinic-rest/spring-petclinic-rest/target/surefire-reports/TEST-org.springframework.samples.petclinic.rest.controller.SpecialtyRestControllerTests.xml,-1,11813,11811,Not provided,BuildwithMaven,BuildwithMaven
5,/home/runner/work/spring-petclinic-rest/spring-petclinic-rest/target/surefire-reports/org.springframework.samples.petclinic.rest.controller.PetTypeRestControllerTests.txt,-1,11817,11815,Not provided,BuildwithMaven,BuildwithMaven
6,/home/runner/work/spring-petclinic-rest/spring-petclinic-rest/target/surefire-reports/TEST-org.springframework.samples.petclinic.rest.controller.PetTypeRestControllerTests.xml,-1,11823,11819,Not provided,BuildwithMaven,BuildwithMaven
7,/home/runner/work/spring-petclinic-rest/spring-petclinic-rest/target/surefire-reports/org.springframework.samples.petclinic.rest.controller.PetRestControllerTests.txt,-1,11827,11825,Not provided,BuildwithMaven,BuildwithMaven
8,/home/runner/work/spring-petclinic-rest/spring-petclinic-rest/target/surefire-reports/TEST-org.springframework.samples.petclinic.rest.controller.PetRestControllerTests.xml,-1,11831,11829,Not provided,BuildwithMaven,BuildwithMaven
9,/home/runner/work/spring-petclinic-rest/spring-petclinic-rest/target/surefire-reports/org.springframework.samples.petclinic.rest.controller.UserRestControllerTests.txt,-1,13295,13293,Not provided,BuildwithMaven,BuildwithMaven
10,/home/runner/work/spring-petclinic-rest/spring-petclinic-rest/target/surefire-reports/TEST-org.springframework.samples.petclinic.service.clinicService.ClinicServiceSpringDataJpaTests.xml,-1,14841,14838,Not provided,BuildwithMaven,BuildwithMaven
