,file_name,last_access_index,last_modify_index,creation_index,last_access_step,last_modify_step,creation_step
0,/home/runner/work/ysoserial/ysoserial/target/ysoserial-optimizing-ci-builds-all.jar,-1,511263,6052,Not provided,Buildjar,Buildjar
1,/home/runner/work/ysoserial/ysoserial/ysoserial.png,-1,1050,1046,Not provided,uses16,uses16
2,/home/runner/work/ysoserial/ysoserial/pom.xml.versionsBackup,-1,1540,1535,Not provided,Setversion,Setversion
3,/home/runner/work/ysoserial/ysoserial/target/maven-status/maven-compiler-plugin/compile/default-compile/createdFiles.lst,-1,2468,2466,Not provided,Buildjar,Buildjar
4,/home/runner/work/ysoserial/ysoserial/target/maven-status/maven-compiler-plugin/compile/default-compile/inputFiles.lst,-1,2472,2470,Not provided,Buildjar,Buildjar
5,/home/runner/work/ysoserial/ysoserial/.gitignore,-1,680,678,Not provided,uses16,uses16
6,/home/runner/work/ysoserial/ysoserial/DISCLAIMER.txt,-1,688,686,Not provided,uses16,uses16
7,/home/runner/work/ysoserial/ysoserial/Dockerfile,-1,692,690,Not provided,uses16,uses16
8,/home/runner/work/ysoserial/ysoserial/LICENSE.txt,-1,696,694,Not provided,uses16,uses16
9,/home/runner/work/ysoserial/ysoserial/README.md,-1,700,698,Not provided,uses16,uses16
10,/home/runner/work/ysoserial/ysoserial/appveyor.yml,-1,704,702,Not provided,uses16,uses16
11,/home/runner/work/ysoserial/ysoserial/.travis.yml,-1,684,682,Not provided,uses16,uses16
12,/home/runner/work/ysoserial/ysoserial/target/maven-status/maven-compiler-plugin/testCompile/default-testCompile/inputFiles.lst,-1,3255,3253,Not provided,Buildjar,Buildjar
13,/home/runner/work/ysoserial/ysoserial/target/maven-status/maven-compiler-plugin/testCompile/default-testCompile/createdFiles.lst,-1,3251,3249,Not provided,Buildjar,Buildjar
14,/home/runner/work/ysoserial/ysoserial/.editorconfig,-1,666,664,Not provided,uses16,uses16
15,/home/runner/work/ysoserial/ysoserial/starting_publish_uses16_16,-1,-1,0,Not provided,Not provided,
16,/home/runner/work/ysoserial/ysoserial/.github/workflows/publish.yml,-1,672,-1,Not provided,uses16,Not provided
17,/home/runner/work/ysoserial/ysoserial/starting_publish_Buildjar_24,-1,-1,1551,Not provided,Not provided,
18,/home/runner/work/ysoserial/ysoserial/starting_publish_uses17_17,-1,-1,1222,Not provided,Not provided,
19,/home/runner/work/ysoserial/ysoserial/starting_publish_Setversion_22,-1,-1,1513,Not provided,Not provided,
20,/home/runner/work/ysoserial/ysoserial/starting_finished_finished_8979874,-1,-1,511266,Not provided,Not provided,
